bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,bet_info,tags,sports,leagues
638381061651110619,Draftkings Sportsbook,parlay,SETTLED_LOSS,4.12,4.29,-0.0407,5,0.00,12/13/2023 23:16:05 GMT,12/14/2023 04:40:05 GMT,MIA Heat Moneyline CHA Hornets @ MIA Heat | NO Pelicans Moneyline NO Pelicans @ WAS Wizards | PHI 76ers Moneyline PHI 76ers @ DET Pistons | MIL Bucks Moneyline IND Pacers @ MIL Bucks | NY Knicks Moneyline NY Knicks @ UTA Jazz,,Basketball,NBA
638380850023321677,Draftkings Sportsbook,parlay,SETTLED_LOSS,6.62,,,5,-5.00,12/13/2023 17:23:23 GMT,12/14/2023 04:28:20 GMT,Over 108.5 MIA Heat Alternate Total Points CHA Hornets @ MIA Heat | Over 9.5 Julius Randle Rebounds NY Knicks @ UTA Jazz | Under 4.5 RJ Barrett Rebounds NY Knicks @ UTA Jazz,,Basketball,NBA
638381052373413948,Draftkings Sportsbook,parlay,SETTLED_LOSS,6.00,,,7.5,0.00,12/13/2023 23:00:38 GMT,12/14/2023 04:05:36 GMT,MIL Bucks +3.5 Spread Alternate IND Pacers @ MIL Bucks | Yes Bobby Portis Double-Double IND Pacers @ MIL Bucks | 10+ Bobby Portis Alt Points IND Pacers @ MIL Bucks,,Basketball,NBA
O/0586450/0000108,Fanduel Sportsbook,straight,SETTLED_WIN,3.00,,,5,10.00,12/13/2023 23:29:56 GMT,12/14/2023 03:59:31 GMT,"Victor Wembanyama, Brandon Miller, and Scottie Barnes to Each Score 15+ Points (12/13) NBA Super Boost - Victor Wembanyama, Brandon Miller, and Scottie Barnes to Each Score 15+ Points (12/13) NBA Super Boost - Victor Wembanyama, Brandon Miller, and Scottie Barnes to Each Score 15+ Points (12/13)",,,
638381059837844073,Draftkings Sportsbook,parlay,SETTLED_LOSS,9.26,,,1,-1.00,12/13/2023 23:13:03 GMT,12/14/2023 03:40:47 GMT,Over 6.5 NY Jets: Team Total Points - 1st Half NY Jets @ MIA Dolphins | Under 20.5 Victor Wembanyama Points LA Lakers @ SA Spurs | NY Giants Winner 4th Quarter NY Giants @ NO Saints,,American Football | Basketball,NBA | NFL
638380788635506541,Draftkings Sportsbook,parlay,SETTLED_LOSS,9.69,,,1.5,-1.50,12/13/2023 15:41:04 GMT,12/14/2023 03:40:47 GMT,Over 6.5 NY Jets: Team Total Points - 1st Half NY Jets @ MIA Dolphins | Under 20.5 Victor Wembanyama Points LA Lakers @ SA Spurs | NY Giants Winner 4th Quarter NY Giants @ NO Saints,,American Football | Basketball,NBA | NFL
638380893844052949,Draftkings Sportsbook,straight,SETTLED_WIN,2.00,,,10,10.00,12/13/2023 18:36:23 GMT,12/14/2023 03:40:36 GMT,Over 0.5 Total Goals - 1st Period (00:00-09:59) BUF Sabres @ COL Avalanche,,Ice Hockey,NHL
O/0586450/0000104,Fanduel Sportsbook,parlay,SETTLED_LOSS,12.06,14.04,-0.1410,3,-3.00,12/13/2023 23:06:36 GMT,12/14/2023 03:40:11 GMT,Jalen Green Over 24.5 Jalen Green - Alt Points Memphis Grizzlies @ Houston Rockets | Julius Randle Over 29.5 Julius Randle - Alt Points New York Knicks @ Utah Jazz,,Basketball,NBA
O/0586450/0000102,Fanduel Sportsbook,parlay,SETTLED_LOSS,6.72,6.29,0.0681,5,0.00,12/13/2023 12:50:41 GMT,12/14/2023 03:40:04 GMT,Jonas Valanciunas Over 0.5 Jonas Valanciunas - Made Threes New Orleans Pelicans @ Washington Wizards | Dejounte Murray Under 4.5 Dejounte Murray - Rebounds Atlanta Hawks @ Toronto Raptors | Jalen Green Over 22.5 Jalen Green - Pts + Ast Memphis Grizzlies @ Houston Rockets,,Basketball,NBA
O/0586450/0000107,Fanduel Sportsbook,parlay,SETTLED_LOSS,20.12,,,2.54,-2.54,12/13/2023 23:11:35 GMT,12/14/2023 03:39:13 GMT,Sidney Crosby Player to Record 2+ Points Pittsburgh Penguins @ Montreal Canadiens | Mathew Barzal Player to Record 2+ Points Anaheim Ducks @ New York Islanders | Cale Makar Player to Record 2+ Points Buffalo Sabres @ Colorado Avalanche,,Ice Hockey,NHL
O/0586450/0000106,Fanduel Sportsbook,parlay,SETTLED_LOSS,26.29,,,2,-2.00,12/13/2023 23:08:20 GMT,12/14/2023 02:25:38 GMT,Tyus Jones To Record 8+ Assists New Orleans Pelicans @ Washington Wizards | Kyle Kuzma 4+ Made Threes New Orleans Pelicans @ Washington Wizards,,Basketball,NBA
O/0586450/0000105,Fanduel Sportsbook,parlay,SETTLED_LOSS,30.00,,,1,-1.00,12/13/2023 23:07:42 GMT,12/14/2023 02:25:09 GMT,Cade Cunningham To Record 10+ Assists Philadelphia 76ers @ Detroit Pistons | Isaiah Stewart 3+ Made Threes Philadelphia 76ers @ Detroit Pistons,,Basketball,NBA
O/0586450/0000103,Fanduel Sportsbook,straight,SETTLED_CASH_OUT,2.85,,,5,0.00,12/13/2023 15:39:59 GMT,12/13/2023 23:29:41 GMT,Jeff Skinner Any Time Goal Scorer Buffalo Sabres @ Colorado Avalanche,,Ice Hockey,NHL
O/0586450/0000100,Fanduel Sportsbook,parlay,SETTLED_LOSS,8.31,,,5,-5.00,12/12/2023 23:24:33 GMT,12/13/2023 05:56:35 GMT,D'Angelo Russell Under 1.5 D'Angelo Russell - Alt Threes Los Angeles Lakers @ Dallas Mavericks | Chris Paul Under 6.5 Chris Paul - Assists Golden State Warriors @ Phoenix Suns | Kevon Looney Over 6.5 Kevon Looney - Rebounds Golden State Warriors @ Phoenix Suns,,Basketball,NBA
O/0586450/0000099,Fanduel Sportsbook,parlay,SETTLED_LOSS,4.74,,,5,-5.00,12/12/2023 23:04:55 GMT,12/13/2023 05:56:22 GMT,Andrew Wiggins Under 12.5 Andrew Wiggins - Points Golden State Warriors @ Phoenix Suns | Andrew Wiggins Under 1.5 Andrew Wiggins - Made Threes Golden State Warriors @ Phoenix Suns | Andrew Wiggins Over 4.5 Andrew Wiggins - Alt Rebounds Golden State Warriors @ Phoenix Suns,,Basketball,NBA
O/0586450/0000098,Fanduel Sportsbook,straight,SETTLED_LOSS,2.50,,,5,-5.00,12/12/2023 22:43:31 GMT,12/13/2023 05:50:07 GMT,Devin Booker or Steph Curry to Score 35+ Points (12/12) NBA Super Boost - Devin Booker or Steph Curry to Record 35+ Points (12/12) NBA Super Boost - Devin Booker or Steph Curry to Record 35+ Points (12/12),,,
O/0586450/0000096,Fanduel Sportsbook,straight,SETTLED_LOSS,3.00,,,5,-5.00,12/12/2023 14:22:42 GMT,12/13/2023 05:46:43 GMT,Sam Reinhart Any Time Goal Scorer Florida Panthers @ Seattle Kraken,,Ice Hockey,NHL
638380172056030219,Draftkings Sportsbook,parlay,SETTLED_LOSS,4.45,,,7.5,-7.50,12/12/2023 22:33:26 GMT,12/13/2023 04:10:00 GMT,Over 208.5 O/U Alternate DEN Nuggets @ CHI Bulls | DEN Nuggets Moneyline DEN Nuggets @ CHI Bulls | Under 31.5 Nikola Jokic Alt Points O/U DEN Nuggets @ CHI Bulls | 1+ Nikola Jokic Alt Three Pointers Made DEN Nuggets @ CHI Bulls,,Basketball,NBA
638380197069506261,Draftkings Sportsbook,parlay,SETTLED_LOSS,4.97,,,5,-5.00,12/12/2023 23:15:05 GMT,12/13/2023 03:40:00 GMT,Yes Nikola Vucevic Double-Double DEN Nuggets @ CHI Bulls | Yes Luka Doncic Double-Double LA Lakers @ DAL Mavericks | 2+ Jaylen Brown Alt Three Pointers Made CLE Cavaliers @ BOS Celtics | 2+ Darius Garland Alt Three Pointers Made CLE Cavaliers @ BOS Celtics,,Basketball,NBA
O/0586450/0000101,Fanduel Sportsbook,parlay,SETTLED_LOSS,31.35,,,0.5,-0.50,12/13/2023 00:53:27 GMT,12/13/2023 03:37:28 GMT,Michael Porter Jr. 5+ Made Threes Denver Nuggets @ Chicago Bulls | Paul George 5+ Made Threes Sacramento Kings @ Los Angeles Clippers,3play ,Basketball,NBA
638380200929684964,Draftkings Sportsbook,parlay,SETTLED_LOSS,4.35,,,5,0.00,12/12/2023 23:21:34 GMT,12/13/2023 03:00:49 GMT,Under 40.5 Anthony Davis Points + Rebounds LA Lakers @ DAL Mavericks | Under 29.5 Anthony Davis Points + Assists LA Lakers @ DAL Mavericks | Under 42.5 Luka Doncic Points + Assists LA Lakers @ DAL Mavericks | Under 245.5 O/U Alternate LA Lakers @ DAL Mavericks,,Basketball,NBA
638380188464223692,Draftkings Sportsbook,parlay,SETTLED_LOSS,22.39,,,2.5,-2.50,12/12/2023 23:00:46 GMT,12/13/2023 02:56:54 GMT,Sam Houston Moneyline ULM @ Sam Houston | Wright State Moneyline Western Kentucky @ Wright State | North Carolina Central Moneyline North Carolina Central @ North Carolina A&T | Southern Illinois Moneyline 1st Half Austin Peay @ Southern Illinois | Arkansas-Pine Bluff +23.5 Spread Alternate - NCAAB Arkansas-Pine Bluff @ South Florida | Bryant +26.5 Spread Alternate - NCAAB Bryant @ Cincinnati | Louisiana Tech Moneyline 1st Half Southeastern Louisiana @ Louisiana Tech | UIC -7 Spread Alternate - NCAAB Green Bay @ UIC | UNI Moneyline 1st Half Prairie View @ UNI,,Basketball,NCAAM
O/0586450/0000097,Fanduel Sportsbook,straight,SETTLED_LOSS,3.30,,,5,-5.00,12/12/2023 14:24:03 GMT,12/13/2023 02:38:59 GMT,Tim Stützle Any Time Goal Scorer Carolina Hurricanes @ Ottawa Senators,,Ice Hockey,NHL
638380177038964230,Draftkings Sportsbook,parlay,SETTLED_LOSS,31.42,,,1.5,-1.50,12/12/2023 22:41:44 GMT,12/13/2023 00:19:48 GMT,Under 8.5 Alternate Total Goals CHI Blackhawks @ EDM Oilers | Under 8.5 Alternate Total Goals DET Red Wings @ STL Blues | Under 8.5 Alternate Total Goals CAR Hurricanes @ OTT Senators | Under 7.5 Alternate Total Goals ARI Coyotes @ PIT Penguins | Under 2.5 Alternate Total Goals - 1st Period WPG Jets @ SJ Sharks | Under 2.5 Alternate Total Goals - 1st Period TOR Maple Leafs @ NY Rangers | Under 2.5 Alternate Total Goals - 1st Period PHI Flyers @ NSH Predators | Under 2.5 Alternate Total Goals - 1st Period CGY Flames @ VGK Golden Knights | Under 2.5 Alternate Total Goals - 1st Period FLA Panthers @ SEA Kraken | TB Lightning +0.5 Puck Line 1st Period TB Lightning @ VAN Canucks,,Ice Hockey,NHL
