name,threesMade,over_under,DraftKings,FanDuel
Aaron Gordon,0.5,Over,-215.0,
Aaron Gordon,1.5,Over,210.0,
Aaron Gordon,2.5,Over,700.0,
Aaron Gordon,3.5,Over,2200.0,
Aaron Wiggins,0.5,Over,,-550.0
Aaron Wiggins,1.5,Over,,-117.5
Aaron Wiggins,1.5,Under,,-106.0
Aaron Wiggins,2.5,Over,,270.0
Aaron Wiggins,3.5,Over,,700.0
Andrew Wiggins,0.5,Over,-1600.0,-1450.0
Andrew Wiggins,1.5,Over,-275.0,-290.0
Andrew Wiggins,2.5,Over,102.5,104.5
Andrew Wiggins,2.5,Under,-135.0,-132.0
Andrew Wiggins,3.5,Over,245.0,270.0
Andrew Wiggins,4.5,Over,550.0,650.0
Andrew Wiggins,5.5,Over,1200.0,1400.0
Anthony Black,0.5,Over,115.0,
Anthony Black,1.5,Over,550.0,
Anthony Black,2.5,Over,2200.0,
Anthony Edwards,1.5,Over,-1400.0,
Anthony Edwards,2.5,Over,-380.0,
Anthony Edwards,3.5,Over,-150.0,
Anthony Edwards,3.5,Under,114.0,
Anthony Edwards,4.5,Over,135.0,
Anthony Edwards,5.5,Over,280.0,
Anthony Edwards,6.5,Over,550.0,
Anthony Edwards,7.5,Over,1200.0,
Anthony Edwards,8.5,Over,2500.0,
Ausar Thompson,0.5,Over,175.0,
Ausar Thompson,1.5,Over,1100.0,
Ayo Dosunmu,0.5,Over,-550.0,
Ayo Dosunmu,1.5,Over,-117.5,
Ayo Dosunmu,1.5,Under,-115.0,
Ayo Dosunmu,2.5,Over,245.0,
Ayo Dosunmu,3.5,Over,700.0,
Ayo Dosunmu,4.5,Over,1900.0,
Bam Adebayo,0.5,Over,-137.5,
Bam Adebayo,0.5,Under,105.0,
Bam Adebayo,1.5,Over,340.0,
Bam Adebayo,2.5,Over,1300.0,
Bradley Beal,0.5,Over,-1000.0,
Bradley Beal,1.5,Over,-210.0,
Bradley Beal,2.5,Over,142.5,
Bradley Beal,2.5,Under,-188.0,
Bradley Beal,3.5,Over,340.0,
Bradley Beal,4.5,Over,850.0,
Bradley Beal,5.5,Over,2200.0,
Brandin Podziemski,0.5,Over,-425.0,
Brandin Podziemski,1.5,Over,100.0,
Brandin Podziemski,2.5,Over,295.0,
Brandin Podziemski,3.5,Over,800.0,
Brandin Podziemski,4.5,Over,2000.0,
Brook Lopez,0.5,Over,,-800.0
Brook Lopez,1.5,Over,,-166.0
Brook Lopez,1.5,Under,,134.0
Brook Lopez,2.5,Over,,195.0
Brook Lopez,3.5,Over,,500.0
Brook Lopez,4.5,Over,,1200.0
Buddy Hield,0.5,Over,-1200.0,-1050.0
Buddy Hield,1.5,Over,-255.0,-220.0
Buddy Hield,2.5,Over,109.5,139.0
Buddy Hield,2.5,Under,-145.0,-178.0
Buddy Hield,3.5,Over,250.0,360.0
Buddy Hield,4.5,Over,500.0,800.0
Buddy Hield,5.5,Over,1100.0,
Buddy Hield,6.5,Over,2200.0,
CJ McCollum,0.5,Over,,-2400.0
CJ McCollum,1.5,Over,-450.0,-430.0
CJ McCollum,2.5,Over,-145.0,-145.0
CJ McCollum,2.5,Under,114.0,118.0
CJ McCollum,3.5,Over,165.0,170.0
CJ McCollum,4.5,Over,380.0,390.0
CJ McCollum,5.5,Over,850.0,800.0
CJ McCollum,6.5,Over,2000.0,1800.0
Cade Cunningham,0.5,Over,-900.0,-800.0
Cade Cunningham,1.5,Over,-185.0,-168.5
Cade Cunningham,1.5,Under,140.0,134.0
Cade Cunningham,2.5,Over,155.0,190.0
Cade Cunningham,3.5,Over,400.0,500.0
Cade Cunningham,4.5,Over,1000.0,1100.0
Cade Cunningham,5.5,Over,2200.0,
