name,threesMade,over_under,DraftKings,FanDuel
Aaron Gordon,0.5,Over,-245.0,
Aaron Gordon,1.5,Over,180.0,
Aaron Gordon,2.5,Over,600.0,
Aaron Gordon,3.5,Over,1800.0,
Aaron Nesmith,0.5,Over,-260.0,
Aaron Nesmith,1.5,Over,165.0,
Aaron Nesmith,2.5,Over,550.0,
Aaron Nesmith,3.5,Over,1700.0,
Al Horford,0.5,Over,-340.0,
Al Horford,1.5,Over,132.5,
Al Horford,1.5,Under,-175.0,
Al Horford,2.5,Over,320.0,
Al Horford,3.5,Over,1000.0,
Andrew Nembhard,0.5,Over,-190.0,
Andrew Nembhard,1.5,Over,235.0,
Andrew Nembhard,2.5,Over,800.0,
Anfernee Simons,0.5,Over,,-4000.0
Anfernee Simons,1.5,Over,-750.0,-800.0
Anfernee Simons,2.5,Over,-240.0,-230.0
Anfernee Simons,3.5,Over,102.5,102.5
Anfernee Simons,3.5,Under,-135.0,-128.0
Anfernee Simons,4.5,Over,220.0,230.0
Anfernee Simons,5.5,Over,450.0,500.0
Anfernee Simons,6.5,Over,1000.0,950.0
Anfernee Simons,7.5,Over,2000.0,2100.0
Anthony Black,0.5,Over,-170.0,-230.0
Anthony Black,1.5,Over,225.0,195.0
Anthony Black,2.5,Over,850.0,650.0
Austin Reaves,0.5,Over,-2000.0,-2100.0
Austin Reaves,1.5,Over,-370.0,-390.0
Austin Reaves,2.5,Over,-122.5,-127.5
Austin Reaves,2.5,Under,-110.0,102.0
Austin Reaves,3.5,Over,205.0,200.0
Austin Reaves,4.5,Over,475.0,470.0
Austin Reaves,5.5,Over,1100.0,900.0
Austin Reaves,6.5,Over,2500.0,2200.0
Ayo Dosunmu,0.5,Over,-450.0,-470.0
Ayo Dosunmu,1.5,Over,-2.5,32.666666666666664
Ayo Dosunmu,1.5,Under,-130.0,-129.0
Ayo Dosunmu,2.5,Over,285.0,310.0
Ayo Dosunmu,2.5,Under,,-450.0
Ayo Dosunmu,3.5,Over,800.0,800.0
Ayo Dosunmu,3.5,Under,,-2000.0
Ayo Dosunmu,4.5,Over,2200.0,
Ayo Dosunmu,4.5,Under,,-10000.0
Ben Sheppard,0.5,Over,-200.0,
Ben Sheppard,1.5,Over,200.0,
Ben Sheppard,2.5,Over,650.0,
Ben Sheppard,3.5,Over,1900.0,
Bennedict Mathurin,0.5,Over,-450.0,-420.0
Bennedict Mathurin,1.5,Over,102.5,103.5
Bennedict Mathurin,1.5,Under,-135.0,-130.0
Bennedict Mathurin,2.5,Over,310.0,310.0
Bennedict Mathurin,3.5,Over,900.0,800.0
Bennedict Mathurin,4.5,Over,2500.0,
Bogdan Bogdanovic,0.5,Over,-500.0,-565.0
Bogdan Bogdanovic,1.5,Over,-117.5,-116.0
Bogdan Bogdanovic,1.5,Under,-115.0,-111.5
Bogdan Bogdanovic,2.5,Over,235.0,255.0
Bogdan Bogdanovic,2.5,Under,,-360.0
Bogdan Bogdanovic,3.5,Over,600.0,650.0
Bogdan Bogdanovic,3.5,Under,,-1200.0
Bogdan Bogdanovic,4.5,Over,1500.0,1300.0
Bogdan Bogdanovic,4.5,Under,,-5000.0
Bradley Beal,0.5,Over,,-470.0
Bradley Beal,1.5,Over,-110.0,-107.66666666666667
Bradley Beal,1.5,Under,-120.0,-119.0
Bradley Beal,2.5,Over,,290.0
Bradley Beal,2.5,Under,,-420.0
Bradley Beal,3.5,Over,,800.0
Bradley Beal,3.5,Under,,-2000.0
Brook Lopez,0.5,Over,-600.0,-650.0
Brook Lopez,1.5,Over,-132.5,-143.0
Brook Lopez,1.5,Under,100.0,114.0
