name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Aaron Gordon,0.5,Over,-145.0,-140.0,
Aaron Gordon,0.5,Under,114.0,105.0,
Aaron Gordon,1.5,Over,,300.0,
Aaron Gordon,1.5,Under,,-500.0,
Aaron Gordon,2.5,Over,,1300.0,
Aaron Gordon,2.5,Under,,-3000.0,
Aaron Nesmith,0.5,Over,-340.0,-190.0,
Aaron Nesmith,0.5,Under,,135.0,
Aaron Nesmith,1.5,Over,115.0,200.0,
Aaron Nesmith,1.5,Under,,-300.0,
Aaron Nesmith,2.5,Over,330.0,800.0,
Aaron Nesmith,2.5,Under,,-1400.0,
Aaron Nesmith,3.5,Over,850.0,,
Aaron Nesmith,4.5,Over,2200.0,,
Al Horford,0.5,Over,,-375.0,
Al Horford,0.5,Under,,225.0,
Al Horford,1.5,Over,,115.0,
Al Horford,1.5,Under,,-150.0,
Al Horford,2.5,Over,,325.0,
Al Horford,2.5,Under,,-550.0,
Alexandre Sarr,0.5,Over,-320.0,,-310.0
Alexandre Sarr,1.5,Over,137.5,130.0,143.5
Alexandre Sarr,1.5,Under,-180.0,-180.0,-184.0
Alexandre Sarr,2.5,Over,425.0,,480.0
Alexandre Sarr,3.5,Over,1200.0,,1100.0
Alperen Sengun,0.5,Over,,200.0,
Alperen Sengun,0.5,Under,,-300.0,
Amen Thompson,0.5,Over,130.0,160.0,
Amen Thompson,0.5,Under,,-225.0,
Amen Thompson,1.5,Over,750.0,,
Amir Coffey,0.5,Over,-425.0,,-300.0
Amir Coffey,1.5,Over,105.0,125.0,137.5
Amir Coffey,1.5,Under,,-170.0,-180.0
Amir Coffey,2.5,Over,300.0,,450.0
Amir Coffey,3.5,Over,800.0,,1100.0
Amir Coffey,4.5,Over,2200.0,,
Andre Jackson Jr,0.5,Over,105.0,130.0,
Andre Jackson Jr,0.5,Under,,-180.0,
Andre Jackson Jr,1.5,Over,550.0,,
Andre Jackson Jr,2.5,Over,2200.0,,
Andrew Nembhard,0.5,Over,-185.0,-190.0,
Andrew Nembhard,0.5,Under,140.0,135.0,
Andrew Nembhard,1.5,Over,245.0,220.0,
Andrew Nembhard,1.5,Under,,-350.0,
Andrew Nembhard,2.5,Over,900.0,900.0,
Andrew Nembhard,2.5,Under,,-1600.0,
Andrew Wiggins,0.5,Over,-1000.0,,-1200.0
Andrew Wiggins,1.5,Over,-225.0,,-230.0
Andrew Wiggins,2.5,Over,132.5,120.0,131.0
Andrew Wiggins,2.5,Under,-175.0,-160.0,-170.0
Andrew Wiggins,3.5,Over,320.0,,340.0
Andrew Wiggins,4.5,Over,800.0,,750.0
Andrew Wiggins,5.5,Over,1800.0,,
Anthony Davis,0.5,Over,-191.5,-160.0,
Anthony Davis,0.5,Under,145.0,120.0,
Anthony Davis,1.5,Over,240.0,,
Anthony Davis,2.5,Over,850.0,,
Anthony Edwards,1.5,Over,-900.0,,-800.0
Anthony Edwards,2.5,Over,-260.0,-215.0,-240.0
Anthony Edwards,2.5,Under,,150.0,
Anthony Edwards,3.5,Over,-2.5,115.0,100.0
Anthony Edwards,3.5,Under,-130.0,-150.0,-128.0
Anthony Edwards,4.5,Over,205.0,,220.0
Anthony Edwards,5.5,Over,425.0,,490.0
Anthony Edwards,6.5,Over,900.0,,900.0
Anthony Edwards,7.5,Over,1900.0,,2000.0
Ausar Thompson,0.5,Over,155.0,175.0,
