name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alex Caruso,0.5,Over,,-240.0,
Alex Caruso,0.5,Under,,165.0,
Alex Caruso,1.5,Over,165.0,,
Alex Caruso,1.5,Under,-215.0,,
Andre Jackson Jr,0.5,Over,-140.0,,
Andre Jackson Jr,1.5,Over,360.0,,
Bam Adebayo,0.5,Over,-205.0,-190.0,
Bam Adebayo,0.5,Under,154.0,135.0,
Bam Adebayo,1.5,Over,225.0,,
Bam Adebayo,2.5,Over,800.0,,
Bobby Portis,0.5,Over,-290.0,,-270.0
Bobby Portis,1.5,Over,157.5,165.0,164.5
Bobby Portis,1.5,Under,-210.0,-240.0,-215.0
Bobby Portis,2.5,Over,500.0,,550.0
Brook Lopez,0.5,Over,-575.0,,-550.0
Brook Lopez,1.5,Over,-122.5,-110.0,-111.5
Brook Lopez,1.5,Under,-110.0,-120.0,-113.0
Brook Lopez,2.5,Over,240.0,,280.0
Brook Lopez,3.5,Over,650.0,,650.0
Caris LeVert,0.5,Over,-400.0,,
Caris LeVert,1.5,Over,107.5,115.0,
Caris LeVert,1.5,Under,-140.0,-150.0,
Caris LeVert,2.5,Over,310.0,,
Caris LeVert,3.5,Over,800.0,,
Cason Wallace,0.5,Over,-230.0,-215.0,
Cason Wallace,0.5,Under,170.0,150.0,
Cason Wallace,1.5,Over,190.0,,
Cason Wallace,2.5,Over,650.0,,
Darius Garland,0.5,Over,,,-1700.0
Darius Garland,1.5,Over,-380.0,,-340.0
Darius Garland,2.5,Over,-132.5,-135.0,-111.5
Darius Garland,2.5,Under,100.0,105.0,-113.0
Darius Garland,3.5,Over,175.0,,220.0
Darius Garland,4.5,Over,380.0,,500.0
Darius Garland,5.5,Over,850.0,,1100.0
Darius Garland,6.5,Over,,,3000.0
Dean Wade,0.5,Over,-500.0,,-420.0
Dean Wade,1.5,Over,-120.0,,103.5
Dean Wade,1.5,Under,,,-130.0
Dean Wade,2.5,Over,245.0,,320.0
Dean Wade,3.5,Over,650.0,,800.0
Donovan Mitchell,0.5,Over,,,-4500.0
Donovan Mitchell,1.5,Over,,,-800.0
Donovan Mitchell,2.5,Over,-290.0,,-240.0
Donovan Mitchell,3.5,Over,-117.5,-110.0,100.0
Donovan Mitchell,3.5,Under,-115.0,-120.0,-128.0
Donovan Mitchell,4.5,Over,175.0,,240.0
Donovan Mitchell,5.5,Over,360.0,,500.0
Donovan Mitchell,6.5,Over,750.0,,950.0
Donovan Mitchell,7.5,Over,,,2000.0
Duncan Robinson,1.5,Over,-220.0,,
Duncan Robinson,2.5,Over,127.5,125.0,
Duncan Robinson,2.5,Under,-166.0,-170.0,
Duncan Robinson,3.5,Over,310.0,,
Duncan Robinson,4.5,Over,700.0,,
Evan Mobley,0.5,Over,-150.0,-170.0,
Evan Mobley,0.5,Under,,125.0,
Evan Mobley,1.5,Over,320.0,,
Evan Mobley,2.5,Over,1100.0,,
Georges Niang,0.5,Over,-550.0,,
Georges Niang,1.5,Over,-137.5,-130.0,
Georges Niang,1.5,Under,105.0,100.0,
Georges Niang,2.5,Over,195.0,,
Georges Niang,3.5,Over,450.0,,
Georges Niang,4.5,Over,1000.0,,
Giannis Antetokounmpo,0.5,Over,235.0,230.0,
Giannis Antetokounmpo,0.5,Under,,-375.0,
Haywood Highsmith,0.5,Over,-255.0,,
Haywood Highsmith,1.5,Over,172.5,165.0,
Haywood Highsmith,1.5,Under,-230.0,-240.0,
Haywood Highsmith,2.5,Over,500.0,,
Isaiah Hartenstein,0.5,Over,800.0,,
Isaiah Joe,1.5,Over,,-105.0,
Isaiah Joe,1.5,Under,,-125.0,
Jaime Jaquez Jr,0.5,Over,,115.0,
Jaime Jaquez Jr,0.5,Under,,-150.0,
Jalen Williams,0.5,Over,-750.0,,-700.0
Jalen Williams,1.5,Over,-162.5,-170.0,-138.5
Jalen Williams,1.5,Under,124.0,125.0,112.0
Jalen Williams,2.5,Over,190.0,,220.0
Jalen Williams,3.5,Over,500.0,,600.0
Jalen Williams,4.5,Over,1200.0,,1400.0
Jimmy Butler,0.5,Over,0.0,100.0,
Jimmy Butler,0.5,Under,-135.0,-130.0,
Jimmy Butler,1.5,Over,500.0,,
Joel Embiid,0.5,Over,-450.0,,-370.0
Joel Embiid,1.5,Over,102.5,115.0,120.0
Joel Embiid,1.5,Under,-135.0,-150.0,-154.0
Joel Embiid,2.5,Over,310.0,,400.0
Joel Embiid,3.5,Over,850.0,,1000.0
Josh Green,0.5,Over,,,-410.0
Josh Green,1.5,Over,,,110.0
Josh Green,1.5,Under,,,-140.0
Josh Green,2.5,Over,,,360.0
Josh Green,3.5,Over,,,900.0
Kelly Oubre Jr,0.5,Over,-400.0,,
Kelly Oubre Jr,1.5,Over,112.0,110.0,
Kelly Oubre Jr,1.5,Under,-145.0,-140.0,
Kelly Oubre Jr,2.5,Over,340.0,,
Kelly Oubre Jr,3.5,Over,1000.0,,
LaMelo Ball,2.5,Over,-450.0,,
LaMelo Ball,3.5,Over,-185.0,,
LaMelo Ball,4.5,Over,115.0,120.0,
LaMelo Ball,4.5,Under,-154.0,-160.0,
LaMelo Ball,5.5,Over,225.0,,
LaMelo Ball,6.5,Over,450.0,,
LaMelo Ball,7.5,Over,850.0,,
Luguentz Dort,0.5,Over,-650.0,,
Luguentz Dort,1.5,Over,-142.5,-135.0,
Luguentz Dort,1.5,Under,110.0,105.0,
Luguentz Dort,2.5,Over,205.0,,
Luguentz Dort,3.5,Over,500.0,,
Miles Bridges,0.5,Over,,,-900.0
Miles Bridges,1.5,Over,-240.0,,-195.0
Miles Bridges,2.5,Over,125.0,125.0,149.0
Miles Bridges,2.5,Under,-166.0,-170.0,-192.0
Miles Bridges,3.5,Over,295.0,,400.0
Miles Bridges,4.5,Over,700.0,,900.0
Paul George,1.5,Over,-425.0,,
Paul George,2.5,Over,-132.5,-140.0,
Paul George,2.5,Under,100.0,110.0,
Paul George,3.5,Over,185.0,,
Paul George,4.5,Over,400.0,,
Paul George,5.5,Over,950.0,,
Shai Gilgeous-Alexander,0.5,Over,,,-1050.0
Shai Gilgeous-Alexander,1.5,Over,-191.5,,-200.0
Shai Gilgeous-Alexander,1.5,Under,145.0,,
Shai Gilgeous-Alexander,2.5,Over,150.0,140.0,149.0
Shai Gilgeous-Alexander,2.5,Under,,-200.0,-192.0
Shai Gilgeous-Alexander,3.5,Over,400.0,,400.0
Shai Gilgeous-Alexander,4.5,Over,1000.0,,900.0
Taurean Prince,0.5,Over,-500.0,,-410.0
Taurean Prince,1.5,Over,-2.5,105.0,105.5
Taurean Prince,1.5,Under,-130.0,-135.0,-136.0
Taurean Prince,2.5,Over,285.0,,330.0
Taurean Prince,3.5,Over,800.0,,850.0
Terry Rozier,0.5,Over,-700.0,,
Terry Rozier,1.5,Over,-150.0,-150.0,
Terry Rozier,1.5,Under,114.0,115.0,
Terry Rozier,2.5,Over,185.0,,
Terry Rozier,3.5,Over,450.0,,
Terry Rozier,4.5,Over,1100.0,,
Tyler Herro,0.5,Over,,,-6000.0
Tyler Herro,1.5,Over,,,-1100.0
Tyler Herro,2.5,Over,-370.0,,-330.0
Tyler Herro,3.5,Over,-150.0,-135.0,-131.0
Tyler Herro,3.5,Under,114.0,105.0,104.0
Tyler Herro,4.5,Over,130.0,,170.0
Tyler Herro,5.5,Over,270.0,,370.0
Tyler Herro,6.5,Over,500.0,,750.0
Tyler Herro,7.5,Over,1000.0,,1400.0
Tyrese Maxey,2.5,Over,-265.0,,
Tyrese Maxey,3.5,Over,-107.5,-105.0,
Tyrese Maxey,3.5,Under,-125.0,-125.0,
Tyrese Maxey,4.5,Over,205.0,,
Tyrese Maxey,5.5,Over,425.0,,
Tyrese Maxey,6.5,Over,900.0,,
