name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alperen Sengun,0.5,Over,137.5,130.0,
Alperen Sengun,0.5,Under,-180.0,-180.0,
Alperen Sengun,1.5,Over,750.0,,
Amir Coffey,0.5,Over,-320.0,,
Amir Coffey,1.5,Over,140.0,125.0,
Amir Coffey,1.5,Under,-188.0,-170.0,
Amir Coffey,2.5,Over,425.0,,
Andrew Nembhard,0.5,Over,-290.0,,-260.0
Andrew Nembhard,1.5,Over,157.5,150.0,180.0
Andrew Nembhard,1.5,Under,-210.0,-215.0,-235.0
Andrew Nembhard,2.5,Over,500.0,,600.0
Andrew Wiggins,0.5,Over,,,-1200.0
Andrew Wiggins,1.5,Over,-220.0,,-230.0
Andrew Wiggins,2.5,Over,135.0,125.0,125.5
Andrew Wiggins,2.5,Under,-180.0,-170.0,-162.0
Andrew Wiggins,3.5,Over,340.0,,320.0
Andrew Wiggins,4.5,Over,800.0,,700.0
Anthony Black,0.5,Over,-120.0,-130.0,
Anthony Black,0.5,Under,,100.0,
Anthony Black,1.5,Over,380.0,,
Anthony Edwards,0.5,Over,,,-3500.0
Anthony Edwards,1.5,Over,-650.0,,-650.0
Anthony Edwards,2.5,Over,-200.0,-170.0,-195.0
Anthony Edwards,2.5,Under,,125.0,
Anthony Edwards,3.5,Over,122.0,,124.5
Anthony Edwards,3.5,Under,-160.0,,-158.0
Anthony Edwards,4.5,Over,270.0,,270.0
Anthony Edwards,5.5,Over,600.0,,600.0
Anthony Edwards,6.5,Over,,,1100.0
Anthony Edwards,7.5,Over,,,2900.0
Ben Sheppard,0.5,Over,-300.0,,
Ben Sheppard,1.5,Over,140.0,145.0,
Ben Sheppard,1.5,Under,,-210.0,
Ben Sheppard,2.5,Over,425.0,,
Ben Sheppard,3.5,Over,1200.0,,
Bennedict Mathurin,0.5,Over,-525.0,,-550.0
Bennedict Mathurin,1.5,Over,-117.5,-110.0,-117.5
Bennedict Mathurin,1.5,Under,-115.0,-120.0,-106.0
Bennedict Mathurin,2.5,Over,250.0,,270.0
Bennedict Mathurin,3.5,Over,700.0,,700.0
Bradley Beal,0.5,Over,,,-1250.0
Bradley Beal,1.5,Over,-330.0,,-250.0
Bradley Beal,2.5,Over,-107.5,120.0,119.0
Bradley Beal,2.5,Under,-125.0,-160.0,-150.0
Bradley Beal,3.5,Over,225.0,,310.0
Bradley Beal,4.5,Over,550.0,,700.0
Bradley Beal,5.5,Over,1200.0,,
Buddy Hield,0.5,Over,,,-1000.0
Buddy Hield,1.5,Over,,,-200.0
Buddy Hield,2.5,Over,,,141.0
Buddy Hield,2.5,Under,,,-184.0
Buddy Hield,3.5,Over,,,350.0
Buddy Hield,4.5,Over,,,750.0
CJ McCollum,0.5,Over,,,-3000.0
CJ McCollum,1.5,Over,-475.0,,-500.0
CJ McCollum,2.5,Over,-150.0,-160.0,-165.0
CJ McCollum,2.5,Under,114.0,120.0,132.0
CJ McCollum,3.5,Over,155.0,,155.0
CJ McCollum,4.5,Over,340.0,,350.0
CJ McCollum,5.5,Over,750.0,,700.0
CJ McCollum,6.5,Over,,,1500.0
Cameron Johnson,0.5,Over,,,-5000.0
Cameron Johnson,1.5,Over,,,-950.0
Cameron Johnson,2.5,Over,-330.0,,-270.0
Cameron Johnson,3.5,Over,-132.5,-115.0,-111.5
Cameron Johnson,3.5,Under,100.0,-115.0,-113.0
Cameron Johnson,4.5,Over,155.0,,195.0
Cameron Johnson,5.5,Over,295.0,,410.0
Cameron Johnson,6.5,Over,550.0,,750.0
Cameron Johnson,7.5,Over,1100.0,,1700.0
Cameron Payne,0.5,Over,-190.0,,
Cameron Payne,1.5,Over,195.0,160.0,
Cameron Payne,1.5,Under,,-225.0,
Cameron Payne,2.5,Over,550.0,,
Chris Paul,0.5,Over,-650.0,,-600.0
Chris Paul,1.5,Over,-137.5,-140.0,-124.0
Chris Paul,1.5,Under,105.0,110.0,100.0
Chris Paul,2.5,Over,215.0,,260.0
Chris Paul,3.5,Over,550.0,,650.0
Christian Braun,0.5,Over,-180.0,-180.0,
Christian Braun,0.5,Under,,130.0,
Christian Braun,1.5,Over,250.0,,
Christian Braun,2.5,Over,950.0,,
Darius Garland,0.5,Over,,,-1700.0
Darius Garland,1.5,Over,-450.0,,-330.0
Darius Garland,2.5,Over,-135.0,-120.0,-105.5
Darius Garland,2.5,Under,-110.0,-110.0,-120.0
Darius Garland,3.5,Over,150.0,,230.0
Darius Garland,4.5,Over,340.0,,550.0
Darius Garland,5.5,Over,700.0,,1100.0
Darius Garland,6.5,Over,,,2800.0
Dejounte Murray,0.5,Over,-650.0,,-650.0
Dejounte Murray,1.5,Over,-137.5,-135.0,-138.5
Dejounte Murray,1.5,Under,105.0,105.0,112.0
Dejounte Murray,2.5,Over,215.0,,220.0
Dejounte Murray,3.5,Over,550.0,,600.0
Dejounte Murray,4.5,Over,,,1400.0
Dennis Schroder,0.5,Over,,,-900.0
Dennis Schroder,1.5,Over,-205.0,,-186.0
Dennis Schroder,1.5,Under,,,148.0
Dennis Schroder,2.5,Over,132.5,130.0,160.0
Dennis Schroder,2.5,Under,-166.0,-180.0,
Dennis Schroder,3.5,Over,350.0,,420.0
Dennis Schroder,4.5,Over,900.0,,900.0
Derrick Jones,0.5,Over,-180.0,-180.0,
Derrick Jones,0.5,Under,,130.0,
Derrick Jones,1.5,Over,250.0,,
Derrick Jones,2.5,Over,850.0,,
Derrick White,0.5,Over,,,-4000.0
Derrick White,1.5,Over,,,-750.0
Derrick White,2.5,Over,-270.0,,-230.0
Derrick White,3.5,Over,-107.5,100.0,109.0
Derrick White,3.5,Under,-125.0,-130.0,-136.0
Derrick White,4.5,Over,195.0,,260.0
Derrick White,5.5,Over,400.0,,550.0
Derrick White,6.5,Over,900.0,,1100.0
Derrick White,7.5,Over,,,2600.0
Desmond Bane,0.5,Over,,,-1000.0
Desmond Bane,1.5,Over,-260.0,,-210.0
Desmond Bane,2.5,Over,109.5,130.0,140.0
Desmond Bane,2.5,Under,-145.0,-180.0,-180.0
Desmond Bane,3.5,Over,265.0,,370.0
Desmond Bane,4.5,Over,600.0,,850.0
