name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Aaron Gordon,0.5,Over,-210.0,-210.0,
Aaron Gordon,0.5,Under,,145.0,
Aaron Gordon,1.5,Over,215.0,,
Aaron Gordon,2.5,Over,750.0,,
Aaron Gordon,3.5,Over,2200.0,,
Alexandre Sarr,0.5,Over,-400.0,,-360.0
Alexandre Sarr,1.5,Over,115.0,120.0,124.5
Alexandre Sarr,1.5,Under,-154.0,-160.0,-160.0
Alexandre Sarr,2.5,Over,350.0,,410.0
Alexandre Sarr,3.5,Over,1000.0,,1000.0
Alexandre Sarr,4.5,Over,2500.0,,
Alperen Sengun,0.5,Over,150.0,150.0,
Alperen Sengun,0.5,Under,,-215.0,
Alperen Sengun,1.5,Over,950.0,,
Amen Thompson,0.5,Over,130.0,150.0,
Amen Thompson,0.5,Under,,-215.0,
Amen Thompson,1.5,Over,750.0,,
Amir Coffey,0.5,Over,-320.0,,-320.0
Amir Coffey,1.5,Over,140.0,145.0,137.5
Amir Coffey,1.5,Under,,-210.0,-180.0
Amir Coffey,2.5,Over,475.0,,460.0
Amir Coffey,3.5,Over,1400.0,,1200.0
Andre Jackson Jr,0.5,Over,110.0,115.0,
Andre Jackson Jr,0.5,Under,,-150.0,
Andre Jackson Jr,1.5,Over,500.0,,
Andre Jackson Jr,2.5,Over,2000.0,,
Anthony Davis,0.5,Over,-180.0,-180.0,
Anthony Davis,0.5,Under,135.0,130.0,
Anthony Davis,1.5,Over,260.0,,
Anthony Davis,2.5,Over,950.0,,
Anthony Edwards,0.5,Over,,,-4500.0
Anthony Edwards,1.5,Over,-1000.0,,-850.0
Anthony Edwards,2.5,Over,-310.0,,-260.0
Anthony Edwards,3.5,Over,-122.5,105.0,-2.0
Anthony Edwards,3.5,Under,-110.0,-140.0,-122.0
Anthony Edwards,4.5,Over,180.0,,220.0
Anthony Edwards,5.5,Over,360.0,,490.0
Anthony Edwards,6.5,Over,750.0,,950.0
Anthony Edwards,7.5,Over,1600.0,,2100.0
Ausar Thompson,0.5,Over,142.5,140.0,-220.0
Ausar Thompson,0.5,Under,-188.0,-200.0,
Ausar Thompson,1.5,Over,800.0,,200.0
Ausar Thompson,2.5,Over,,,650.0
Austin Reaves,0.5,Over,-1400.0,,-1500.0
Austin Reaves,1.5,Over,-255.0,,-300.0
Austin Reaves,2.5,Over,117.5,110.0,100.0
Austin Reaves,2.5,Under,-154.0,-145.0,-128.0
Austin Reaves,3.5,Over,290.0,,260.0
Austin Reaves,4.5,Over,700.0,,600.0
Austin Reaves,5.5,Over,1700.0,,1300.0
Ayo Dosunmu,0.5,Over,-370.0,,-330.0
Ayo Dosunmu,1.5,Over,117.5,110.0,133.5
Ayo Dosunmu,1.5,Under,-154.0,-145.0,-170.0
Ayo Dosunmu,2.5,Over,350.0,,420.0
Ayo Dosunmu,3.5,Over,950.0,,1100.0
Ayo Dosunmu,4.5,Over,2800.0,,
Bam Adebayo,0.5,Over,-105.0,105.0,
