name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alex Sarr,0.5,Over,-400.0,,
Alex Sarr,1.5,Over,105.0,115.0,118.0
Alex Sarr,1.5,Under,-140.0,-150.0,-150.0
Alex Sarr,2.5,Over,295.0,,
Alex Sarr,3.5,Over,750.0,,
Alperen Sengun,0.5,Over,,180.0,
Alperen Sengun,0.5,Under,,-260.0,
Amen Thompson,0.5,Over,,140.0,
Amen Thompson,0.5,Under,,-200.0,
Andrew Wiggins,0.5,Over,,,-1100.0
Andrew Wiggins,1.5,Over,-255.0,,-220.0
Andrew Wiggins,2.5,Over,117.5,115.0,139.0
Andrew Wiggins,2.5,Under,-154.0,-150.0,-178.0
Andrew Wiggins,3.5,Over,285.0,,360.0
Andrew Wiggins,4.5,Over,700.0,,800.0
Anthony Black,0.5,Over,-290.0,,
Anthony Black,1.5,Over,149.5,125.0,
Anthony Black,1.5,Under,-200.0,-170.0,
Anthony Black,2.5,Over,450.0,,
Anthony Davis,0.5,Over,-157.0,-150.0,
Anthony Davis,0.5,Under,120.0,115.0,
Anthony Davis,1.5,Over,310.0,,
Anthony Davis,2.5,Over,1200.0,,
Austin Reaves,0.5,Over,,,-1150.0
Austin Reaves,1.5,Over,-245.0,,-240.0
Austin Reaves,2.5,Over,127.5,120.0,124.5
Austin Reaves,2.5,Under,-166.0,-160.0,-160.0
Austin Reaves,3.5,Over,300.0,,330.0
Austin Reaves,4.5,Over,750.0,,750.0
Bilal Coulibaly,0.5,Over,-241.5,,
Bilal Coulibaly,0.5,Under,180.0,,
Bilal Coulibaly,1.5,Over,175.0,140.0,150.0
Bilal Coulibaly,1.5,Under,,-200.0,-194.0
Bilal Coulibaly,2.5,Over,550.0,,
Brandon Miller,0.5,Over,,,-3000.0
Brandon Miller,1.5,Over,-475.0,,-550.0
Brandon Miller,2.5,Over,-170.5,-150.0,-175.0
Brandon Miller,2.5,Under,130.0,115.0,
Brandon Miller,3.5,Over,130.0,,138.0
Brandon Miller,3.5,Under,,,-174.0
Brandon Miller,4.5,Over,285.0,,310.0
Brandon Miller,5.5,Over,600.0,,700.0
Brandon Miller,6.5,Over,1200.0,,1300.0
Brandon Miller,7.5,Over,,,3100.0
CJ McCollum,1.5,Over,-650.0,,
CJ McCollum,2.5,Over,-205.0,,
CJ McCollum,3.5,Over,117.5,110.0,110.0
CJ McCollum,3.5,Under,-154.0,-140.0,-140.0
CJ McCollum,4.5,Over,250.0,,
CJ McCollum,5.5,Over,500.0,,
CJ McCollum,6.5,Over,1100.0,,
Caris LeVert,0.5,Over,-425.0,,
Caris LeVert,1.5,Over,100.0,110.0,
Caris LeVert,1.5,Under,,-140.0,
Caris LeVert,2.5,Over,295.0,,
Caris LeVert,3.5,Over,750.0,,
Carlton Carrington,0.5,Over,-400.0,,
Carlton Carrington,1.5,Over,102.5,100.0,102.0
Carlton Carrington,1.5,Under,-135.0,-130.0,-130.0
Carlton Carrington,2.5,Over,280.0,,
Carlton Carrington,3.5,Over,700.0,,
Cason Wallace,0.5,Over,-275.0,-260.0,
Cason Wallace,0.5,Under,,165.0,
Cason Wallace,1.5,Over,155.0,180.0,
Cason Wallace,1.5,Under,,-280.0,
Cason Wallace,2.5,Over,500.0,450.0,
Cason Wallace,2.5,Under,,-1200.0,
Collin Sexton,0.5,Over,-575.0,,-600.0
Collin Sexton,1.5,Over,-127.5,-125.0,-126.5
Collin Sexton,1.5,Under,-105.0,-105.0,100.0
Collin Sexton,2.5,Over,225.0,,250.0
Collin Sexton,3.5,Over,600.0,,700.0
Darius Garland,0.5,Over,,,-2100.0
Darius Garland,1.5,Over,-400.0,,-380.0
Darius Garland,2.5,Over,-135.0,-135.0,-127.5
Darius Garland,2.5,Under,100.0,105.0,102.0
Darius Garland,3.5,Over,175.0,,200.0
Darius Garland,4.5,Over,390.0,,490.0
Darius Garland,5.5,Over,850.0,,1000.0
Darius Garland,6.5,Over,,,2400.0
DeMar DeRozan,1.5,Over,,160.0,
DeMar DeRozan,1.5,Under,,-225.0,
Dean Wade,0.5,Over,-650.0,,-600.0
Dean Wade,1.5,Over,-145.0,-130.0,-126.5
Dean Wade,1.5,Under,,100.0,100.0
Dean Wade,2.5,Over,200.0,,260.0
Dean Wade,3.5,Over,500.0,,700.0
Dean Wade,4.5,Over,1300.0,,1500.0
Dejounte Murray,0.5,Over,-600.0,,
Dejounte Murray,1.5,Over,-132.5,-140.0,-138.0
Dejounte Murray,1.5,Under,100.0,110.0,108.0
Dejounte Murray,2.5,Over,225.0,,
Dejounte Murray,3.5,Over,550.0,,
Dennis Schroder,0.5,Over,-550.0,,-600.0
Dennis Schroder,1.5,Over,-122.5,,-122.5
Dennis Schroder,1.5,Under,-110.0,,-102.0
Dennis Schroder,2.5,Over,230.0,,240.0
Dennis Schroder,3.5,Over,600.0,,650.0
Derrick White,0.5,Over,,,-3000.0
Derrick White,1.5,Over,-650.0,,-550.0
Derrick White,2.5,Over,-195.0,-240.0,-165.0
Derrick White,2.5,Under,,150.0,
Derrick White,3.5,Over,127.5,115.0,137.5
Derrick White,3.5,Under,-166.0,-160.0,-180.0
Derrick White,4.5,Over,285.0,220.0,330.0
Derrick White,4.5,Under,,-375.0,
Derrick White,5.5,Over,600.0,,700.0
Derrick White,6.5,Over,,,1400.0
Derrick White,7.5,Over,,,3400.0
Dillon Brooks,0.5,Over,,,-1350.0
Dillon Brooks,1.5,Over,-295.0,,-280.0
Dillon Brooks,2.5,Over,-2.5,100.0,110.0
Dillon Brooks,2.5,Under,-130.0,-130.0,-140.0
Dillon Brooks,3.5,Over,240.0,,290.0
Dillon Brooks,4.5,Over,550.0,,700.0
Dillon Brooks,5.5,Over,1300.0,,1500.0
Domantas Sabonis,0.5,Over,,-160.0,
Domantas Sabonis,0.5,Under,,120.0,
Donovan Mitchell,0.5,Over,,,-4500.0
Donovan Mitchell,1.5,Over,,,-1000.0
Donovan Mitchell,2.5,Over,-310.0,,-290.0
Donovan Mitchell,3.5,Over,-127.5,-130.0,-116.5
Donovan Mitchell,3.5,Under,-105.0,100.0,-108.0
Donovan Mitchell,4.5,Over,170.0,,200.0
Donovan Mitchell,5.5,Over,360.0,,460.0
Donovan Mitchell,6.5,Over,700.0,,850.0
Donovan Mitchell,7.5,Over,,,1800.0
Dorian Finney-Smith,0.5,Over,-360.0,,
Dorian Finney-Smith,1.5,Over,120.0,110.0,
Dorian Finney-Smith,1.5,Under,,-140.0,
Dorian Finney-Smith,2.5,Over,350.0,,
Dorian Finney-Smith,3.5,Over,1000.0,,
Draymond Green,0.5,Over,-390.0,,-350.0
Draymond Green,1.5,Over,112.0,120.0,129.0
Draymond Green,1.5,Under,-145.0,-160.0,-164.0
Draymond Green,2.5,Over,360.0,,440.0
Draymond Green,3.5,Over,1000.0,,1200.0
Evan Mobley,0.5,Over,-285.0,,
Evan Mobley,1.5,Over,167.5,160.0,
Evan Mobley,1.5,Under,-220.0,-225.0,
Evan Mobley,2.5,Over,550.0,,
Fred VanVleet,0.5,Over,,,-2100.0
Fred VanVleet,1.5,Over,-360.0,,-370.0
Fred VanVleet,2.5,Over,-117.5,-120.0,-124.0
Fred VanVleet,2.5,Under,-115.0,-110.0,100.0
Fred VanVleet,3.5,Over,205.0,,210.0
Fred VanVleet,4.5,Over,475.0,,500.0
Fred VanVleet,5.5,Over,1000.0,,1000.0
Fred VanVleet,6.5,Over,,,2800.0
Georges Niang,0.5,Over,-400.0,,
Georges Niang,1.5,Over,-105.0,-105.0,
Georges Niang,1.5,Under,,-125.0,
Georges Niang,2.5,Over,265.0,,
Georges Niang,3.5,Over,650.0,,
Goga Bitadze,0.5,Over,,320.0,
Goga Bitadze,0.5,Under,,-575.0,
Herbert Jones,0.5,Over,-285.0,,
Herbert Jones,1.5,Over,162.5,145.0,148.0
Herbert Jones,1.5,Under,-215.0,-210.0,-192.0
Herbert Jones,2.5,Over,500.0,,
Isaiah Joe,0.5,Over,-360.0,,
Isaiah Joe,1.5,Over,100.0,,
Isaiah Joe,2.5,Over,280.0,,
Isaiah Joe,3.5,Over,700.0,,
Jalen Green,0.5,Over,,,-1300.0
Jalen Green,1.5,Over,-295.0,,-240.0
Jalen Green,2.5,Over,-107.5,110.0,124.5
Jalen Green,2.5,Under,-125.0,-140.0,-158.0
Jalen Green,3.5,Over,230.0,,330.0
Jalen Green,4.5,Over,550.0,,750.0
Jalen Green,5.5,Over,1300.0,,
Jalen Williams,0.5,Over,-600.0,-600.0,-550.0
Jalen Williams,0.5,Under,,320.0,
Jalen Williams,1.5,Over,-132.5,-120.0,-121.0
Jalen Williams,1.5,Under,100.0,-110.0,-104.0
Jalen Williams,2.5,Over,225.0,230.0,260.0
Jalen Williams,2.5,Under,,-400.0,
Jalen Williams,3.5,Over,600.0,,650.0
Jaylen Brown,0.5,Over,,,-750.0
Jaylen Brown,1.5,Over,-165.0,-210.0,-150.5
Jaylen Brown,1.5,Under,124.0,135.0,122.0
Jaylen Brown,2.5,Over,180.0,150.0,200.0
Jaylen Brown,2.5,Under,,-240.0,
Jaylen Brown,3.5,Over,475.0,,550.0
Jaylen Brown,4.5,Over,1200.0,,1200.0
Jayson Tatum,0.5,Over,,,-4500.0
Jayson Tatum,1.5,Over,,,-900.0
Jayson Tatum,2.5,Over,-330.0,-400.0,-280.0
Jayson Tatum,2.5,Under,,230.0,
Jayson Tatum,3.5,Over,-130.0,-150.0,-117.5
Jayson Tatum,3.5,Under,100.0,110.0,-106.0
Jayson Tatum,4.5,Over,165.0,140.0,190.0
Jayson Tatum,4.5,Under,,-220.0,
Jayson Tatum,5.5,Over,350.0,,420.0
Jayson Tatum,6.5,Over,750.0,,800.0
Jayson Tatum,7.5,Over,,,1700.0
