name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alex Sarr,0.5,Over,-575.0,,
Alex Sarr,1.5,Over,-125.0,-120.0,
Alex Sarr,1.5,Under,-105.0,-110.0,
Alex Sarr,2.5,Over,240.0,,
Alex Sarr,3.5,Over,650.0,,
Andrew Nembhard,0.5,Over,-290.0,,
Andrew Nembhard,1.5,Over,152.0,145.0,
Andrew Nembhard,1.5,Under,-200.0,-210.0,
Andrew Nembhard,2.5,Over,475.0,,
Anfernee Simons,0.5,Over,,,-1800.0
Anfernee Simons,1.5,Over,-350.0,,-330.0
Anfernee Simons,2.5,Over,-7.5,-105.0,-111.5
Anfernee Simons,2.5,Under,-135.0,-125.0,-113.0
Anfernee Simons,3.5,Over,210.0,,230.0
Anfernee Simons,4.5,Over,475.0,,550.0
Anfernee Simons,5.5,Over,1100.0,,1100.0
Ayo Dosunmu,0.5,Over,-475.0,,-380.0
Ayo Dosunmu,1.5,Over,-107.5,100.0,120.0
Ayo Dosunmu,1.5,Under,-125.0,-130.0,-154.0
Ayo Dosunmu,2.5,Over,280.0,,380.0
Ayo Dosunmu,3.5,Over,750.0,,1000.0
Bam Adebayo,0.5,Over,-140.0,-150.0,
Bam Adebayo,0.5,Under,105.0,115.0,
Bam Adebayo,1.5,Over,340.0,,
Bennedict Mathurin,0.5,Over,-450.0,,-410.0
Bennedict Mathurin,1.5,Over,102.5,100.0,109.0
Bennedict Mathurin,1.5,Under,-135.0,-130.0,-138.0
Bennedict Mathurin,2.5,Over,310.0,,340.0
Bennedict Mathurin,3.5,Over,850.0,,900.0
Bilal Coulibaly,0.5,Over,-425.0,,
Bilal Coulibaly,1.5,Over,109.5,105.0,
Bilal Coulibaly,1.5,Under,-145.0,-135.0,
Bilal Coulibaly,2.5,Over,340.0,,
Bilal Coulibaly,3.5,Over,1000.0,,
Brandon Miller,2.5,Over,-270.0,,
Brandon Miller,3.5,Over,-107.5,-115.0,
Brandon Miller,3.5,Under,-125.0,-115.0,
Brandon Miller,4.5,Over,190.0,,
Brandon Miller,5.5,Over,400.0,,
Brandon Miller,6.5,Over,800.0,,
CJ McCollum,0.5,Over,,,-2100.0
CJ McCollum,1.5,Over,-450.0,,-400.0
CJ McCollum,2.5,Over,-145.0,-130.0,-133.0
CJ McCollum,2.5,Under,110.0,100.0,106.0
CJ McCollum,3.5,Over,155.0,,185.0
CJ McCollum,4.5,Over,340.0,,440.0
CJ McCollum,5.5,Over,700.0,,900.0
CJ McCollum,6.5,Over,,,2100.0
Cade Cunningham,0.5,Over,,,-1150.0
Cade Cunningham,1.5,Over,-290.0,,-230.0
