name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alex Sarr,0.5,Over,-285.0,,-270.0
Alex Sarr,1.5,Over,152.0,,164.5
Alex Sarr,1.5,Under,-200.0,,-215.0
Alex Sarr,2.5,Over,475.0,,550.0
Amir Coffey,1.5,Over,,125.0,
Amir Coffey,1.5,Under,,-170.0,
Andrew Wiggins,0.5,Over,,,-850.0
Andrew Wiggins,1.5,Over,-157.0,-170.0,-179.5
Andrew Wiggins,1.5,Under,120.0,125.0,142.0
Andrew Wiggins,2.5,Over,180.0,,165.0
Andrew Wiggins,3.5,Over,475.0,,440.0
Andrew Wiggins,4.5,Over,1200.0,,1000.0
Anfernee Simons,0.5,Over,,,-3000.0
Anfernee Simons,1.5,Over,-650.0,,-550.0
Anfernee Simons,2.5,Over,-215.0,,-170.0
Anfernee Simons,3.5,Over,115.0,125.0,143.5
Anfernee Simons,3.5,Under,-154.0,-170.0,-184.0
Anfernee Simons,4.5,Over,245.0,,330.0
Anfernee Simons,5.5,Over,500.0,,700.0
Anfernee Simons,6.5,Over,1100.0,,1400.0
Anfernee Simons,7.5,Over,,,3300.0
Anthony Davis,0.5,Over,-154.5,-140.0,
Anthony Davis,0.5,Under,120.0,110.0,
Anthony Davis,1.5,Over,295.0,,
Anthony Davis,2.5,Over,1100.0,,
Anthony Edwards,1.5,Over,,,-1100.0
Anthony Edwards,2.5,Over,-350.0,,-310.0
Anthony Edwards,3.5,Over,-137.5,-125.0,-124.0
Anthony Edwards,3.5,Under,105.0,-105.0,100.0
Anthony Edwards,4.5,Over,155.0,,180.0
Anthony Edwards,5.5,Over,320.0,,390.0
Anthony Edwards,6.5,Over,650.0,,700.0
Anthony Edwards,7.5,Over,,,1500.0
Austin Reaves,0.5,Over,,,-1500.0
Austin Reaves,1.5,Over,,,-300.0
Austin Reaves,2.5,Over,,,-2.0
Austin Reaves,2.5,Under,,,-122.0
Austin Reaves,3.5,Over,,,260.0
Austin Reaves,4.5,Over,,,600.0
Austin Reaves,5.5,Over,,,1300.0
Ayo Dosunmu,0.5,Over,-425.0,,
Ayo Dosunmu,1.5,Over,105.0,115.0,
Ayo Dosunmu,1.5,Under,,-150.0,
Ayo Dosunmu,2.5,Over,320.0,,
Ayo Dosunmu,3.5,Over,950.0,,
Bam Adebayo,0.5,Over,-122.5,-125.0,
Bam Adebayo,0.5,Under,-110.0,-105.0,
Bam Adebayo,1.5,Over,400.0,,
Bilal Coulibaly,0.5,Over,-425.0,,-440.0
Bilal Coulibaly,1.5,Over,109.5,,103.5
Bilal Coulibaly,1.5,Under,-145.0,,-130.0
Bilal Coulibaly,2.5,Over,330.0,,340.0
Bilal Coulibaly,3.5,Over,900.0,,900.0
Bradley Beal,0.5,Over,,,-1050.0
Bradley Beal,1.5,Over,-197.5,,-210.0
Bradley Beal,1.5,Under,150.0,,
Bradley Beal,2.5,Over,145.0,135.0,148.0
Bradley Beal,2.5,Under,,-190.0,-188.0
Bradley Beal,3.5,Over,370.0,,390.0
Bradley Beal,4.5,Over,950.0,,900.0
Brook Lopez,0.5,Over,,,-750.0
Brook Lopez,1.5,Over,-159.5,,-158.5
Brook Lopez,1.5,Under,120.0,,126.0
Brook Lopez,2.5,Over,175.0,,200.0
Brook Lopez,3.5,Over,475.0,,500.0
Brook Lopez,4.5,Over,1200.0,,1300.0
CJ McCollum,0.5,Over,,,-1900.0
CJ McCollum,1.5,Over,-400.0,,-380.0
CJ McCollum,2.5,Over,-132.5,-130.0,-127.5
CJ McCollum,2.5,Under,100.0,100.0,102.0
CJ McCollum,3.5,Over,180.0,,200.0
CJ McCollum,4.5,Over,400.0,,460.0
CJ McCollum,5.5,Over,900.0,,900.0
CJ McCollum,6.5,Over,,,2200.0
Cade Cunningham,0.5,Over,,,-1200.0
Cade Cunningham,1.5,Over,-215.0,,-240.0
Cade Cunningham,2.5,Over,137.5,125.0,125.5
Cade Cunningham,2.5,Under,-180.0,-170.0,-162.0
Cade Cunningham,3.5,Over,350.0,,320.0
Cade Cunningham,4.5,Over,850.0,,700.0
Cameron Johnson,1.5,Over,,,-1000.0
Cameron Johnson,2.5,Over,-380.0,,-300.0
Cameron Johnson,3.5,Over,-147.5,-135.0,-121.0
Cameron Johnson,3.5,Under,110.0,105.0,-104.0
Cameron Johnson,4.5,Over,140.0,,180.0
Cameron Johnson,5.5,Over,300.0,,390.0
Cameron Johnson,6.5,Over,600.0,,750.0
Cameron Johnson,7.5,Over,1200.0,,1500.0
Chris Paul,0.5,Over,-380.0,,-360.0
Chris Paul,1.5,Over,119.5,105.0,120.0
Chris Paul,1.5,Under,-160.0,-135.0,-154.0
Chris Paul,2.5,Over,360.0,,390.0
