name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
AJ Green,1.5,Over,,-180.0,
AJ Green,1.5,Under,,125.0,
AJ Green,2.5,Over,,145.0,
AJ Green,2.5,Under,,-230.0,
AJ Green,3.5,Over,,330.0,
AJ Green,3.5,Under,,-650.0,
Aaron Wiggins,0.5,Over,,-425.0,
Aaron Wiggins,0.5,Under,,240.0,
Aaron Wiggins,1.5,Over,,110.0,
Aaron Wiggins,1.5,Under,,-150.0,
Aaron Wiggins,2.5,Over,,300.0,
Aaron Wiggins,2.5,Under,,-600.0,
Alexandre Sarr,0.5,Over,-425.0,-450.0,-330.0
Alexandre Sarr,0.5,Under,,250.0,
Alexandre Sarr,1.5,Over,102.5,110.0,129.0
Alexandre Sarr,1.5,Under,-135.0,-150.0,-164.0
Alexandre Sarr,2.5,Over,300.0,275.0,420.0
Alexandre Sarr,2.5,Under,,-500.0,
Alexandre Sarr,3.5,Over,800.0,,1100.0
Amir Coffey,0.5,Over,,-425.0,
Amir Coffey,0.5,Under,,250.0,
Amir Coffey,1.5,Over,,105.0,
Amir Coffey,1.5,Under,,-135.0,
Amir Coffey,2.5,Over,,275.0,
Amir Coffey,2.5,Under,,-475.0,
Andre Jackson Jr,0.5,Over,,130.0,
Andre Jackson Jr,0.5,Under,,-200.0,
Andre Jackson Jr,1.5,Over,,500.0,
Andre Jackson Jr,1.5,Under,,-1600.0,
Andrew Nembhard,0.5,Over,-310.0,-425.0,
Andrew Nembhard,0.5,Under,,240.0,
Andrew Nembhard,1.5,Over,147.5,120.0,
Andrew Nembhard,1.5,Under,-195.0,-170.0,
Andrew Nembhard,2.5,Over,425.0,320.0,
Andrew Nembhard,2.5,Under,,-600.0,
Anfernee Simons,1.5,Over,,,-900.0
Anfernee Simons,2.5,Over,-280.0,-300.0,-280.0
Anfernee Simons,2.5,Under,,200.0,
Anfernee Simons,3.5,Over,-112.5,-125.0,-111.5
Anfernee Simons,3.5,Under,-120.0,-105.0,-113.0
Anfernee Simons,4.5,Over,200.0,165.0,200.0
Anfernee Simons,4.5,Under,,-240.0,
Anfernee Simons,5.5,Over,425.0,,430.0
Anfernee Simons,6.5,Over,900.0,,800.0
Anfernee Simons,7.5,Over,,,1700.0
Bennedict Mathurin,0.5,Over,-500.0,-600.0,-440.0
Bennedict Mathurin,0.5,Under,,300.0,
Bennedict Mathurin,1.5,Over,-107.5,-120.0,103.5
Bennedict Mathurin,1.5,Under,-125.0,-110.0,-130.0
Bennedict Mathurin,2.5,Over,280.0,230.0,330.0
Bennedict Mathurin,2.5,Under,,-400.0,
Bennedict Mathurin,3.5,Over,750.0,,800.0
Bilal Coulibaly,0.5,Over,-425.0,-475.0,-380.0
Bilal Coulibaly,0.5,Under,,260.0,
Bilal Coulibaly,1.5,Over,112.0,110.0,120.0
Bilal Coulibaly,1.5,Under,-145.0,-150.0,-154.0
Bilal Coulibaly,2.5,Over,340.0,280.0,390.0
Bilal Coulibaly,2.5,Under,,-550.0,
Bilal Coulibaly,3.5,Over,950.0,,1000.0
Bobby Portis,0.5,Over,-340.0,-375.0,
Bobby Portis,0.5,Under,,220.0,
Bobby Portis,1.5,Over,120.0,130.0,
Bobby Portis,1.5,Under,,-200.0,
Bobby Portis,2.5,Over,370.0,340.0,
Bobby Portis,2.5,Under,,-700.0,
Bobby Portis,3.5,Over,1000.0,,
Brook Lopez,0.5,Over,-525.0,-550.0,-440.0
Brook Lopez,0.5,Under,,280.0,
Brook Lopez,1.5,Over,-117.5,-105.0,103.5
Brook Lopez,1.5,Under,-115.0,-125.0,-130.0
Brook Lopez,2.5,Over,250.0,275.0,340.0
Brook Lopez,2.5,Under,,-500.0,
Brook Lopez,3.5,Over,650.0,,900.0
