name,threesMade,over_under,DraftKings,FanDuel
AJ Green,0.5,Over,-575.0,
AJ Green,1.5,Over,-127.5,
AJ Green,1.5,Under,-105.0,
AJ Green,2.5,Over,220.0,
AJ Green,3.5,Over,550.0,
AJ Green,4.5,Over,1500.0,
Aaron Nesmith,0.5,Over,-700.0,-735.0
Aaron Nesmith,1.5,Over,-162.5,-146.66666666666666
Aaron Nesmith,1.5,Under,124.0,113.0
Aaron Nesmith,2.5,Over,175.0,215.0
Aaron Nesmith,2.5,Under,,-300.0
Aaron Nesmith,3.5,Over,425.0,560.0
Aaron Nesmith,3.5,Under,,-1100.0
Aaron Nesmith,4.5,Over,1100.0,1300.0
Aaron Nesmith,4.5,Under,,-5000.0
Aaron Nesmith,5.5,Over,2500.0,
Alexandre Sarr,0.5,Over,-500.0,-500.0
Alexandre Sarr,1.5,Over,-107.5,-104.66666666666667
Alexandre Sarr,1.5,Under,-125.0,-123.5
Alexandre Sarr,2.5,Over,270.0,282.5
Alexandre Sarr,2.5,Under,,-420.0
Alexandre Sarr,3.5,Over,700.0,750.0
Alexandre Sarr,3.5,Under,,-1600.0
Alexandre Sarr,4.5,Over,1900.0,
Alexandre Sarr,4.5,Under,,-7000.0
Amir Coffey,0.5,Over,-330.0,
Amir Coffey,1.5,Over,135.0,
Amir Coffey,2.5,Over,425.0,
Amir Coffey,3.5,Over,1200.0,
Andrew Nembhard,0.5,Over,-260.0,-280.0
Andrew Nembhard,1.5,Over,180.0,176.0
Andrew Nembhard,1.5,Under,-245.0,-230.0
Andrew Nembhard,2.5,Over,600.0,560.0
Andrew Nembhard,3.5,Over,1800.0,1400.0
Ausar Thompson,0.5,Over,220.0,
Ausar Thompson,1.5,Over,1400.0,
Bennedict Mathurin,0.5,Over,-270.0,-350.0
Bennedict Mathurin,1.5,Over,160.0,138.0
Bennedict Mathurin,1.5,Under,-215.0,-178.0
Bennedict Mathurin,2.5,Over,500.0,420.0
Bennedict Mathurin,3.5,Over,1400.0,1060.0
Bogdan Bogdanovic,0.5,Over,-800.0,-975.0
Bogdan Bogdanovic,1.5,Over,-170.5,-188.0
Bogdan Bogdanovic,1.5,Under,130.0,143.0
Bogdan Bogdanovic,2.5,Over,150.0,160.0
