name,threesMade,over_under,DraftKings,FanDuel
AJ Lawson,1.5,Over,142.5,
AJ Lawson,1.5,Under,-198.0,
AJ Lawson,2.5,Over,450.0,
Aaron Holiday,0.5,Over,-475.0,
Aaron Holiday,1.5,Over,-2.5,
Aaron Holiday,1.5,Under,-130.0,
Aaron Holiday,2.5,Over,310.0,
Aaron Holiday,3.5,Over,950.0,
Aaron Holiday,4.5,Over,2800.0,
Aaron Nesmith,0.5,Over,-1000.0,-825.0
Aaron Nesmith,1.5,Over,-195.0,-155.33333333333334
Aaron Nesmith,1.5,Under,140.0,119.0
Aaron Nesmith,2.5,Over,145.0,210.0
Aaron Nesmith,2.5,Under,,-290.0
Aaron Nesmith,3.5,Over,370.0,540.0
Aaron Nesmith,3.5,Under,,-1000.0
Aaron Nesmith,4.5,Over,900.0,1300.0
Aaron Nesmith,4.5,Under,,-5000.0
Aaron Nesmith,5.5,Over,2200.0,
Aaron Wiggins,0.5,Over,-400.0,-500.0
Aaron Wiggins,1.5,Over,102.5,-108.66666666666667
Aaron Wiggins,1.5,Under,-135.0,-119.0
Aaron Wiggins,2.5,Over,290.0,282.5
Aaron Wiggins,2.5,Under,,-420.0
Aaron Wiggins,3.5,Over,750.0,750.0
Aaron Wiggins,3.5,Under,,-1800.0
Aaron Wiggins,4.5,Over,1700.0,
Aaron Wiggins,4.5,Under,,-8000.0
Alex Caruso,0.5,Over,-210.0,-247.5
Alex Caruso,0.5,Under,170.0,182.0
Alex Caruso,1.5,Over,200.0,189.33333333333334
Alex Caruso,1.5,Under,,-255.0
Alex Caruso,2.5,Over,650.0,600.0
Alex Caruso,2.5,Under,,-1200.0
Alex Caruso,3.5,Over,1800.0,1500.0
Alex Caruso,3.5,Under,,-8000.0
Alex Len,0.5,Over,900.0,
Alexandre Sarr,0.5,Over,,-500.0
Alexandre Sarr,1.5,Over,-7.5,-106.66666666666667
Alexandre Sarr,1.5,Under,-130.0,-121.0
Alexandre Sarr,2.5,Over,275.0,285.0
Alexandre Sarr,3.5,Over,,800.0
Alperen Sengun,0.5,Over,240.0,
Alperen Sengun,1.5,Over,1700.0,
Andrew Nembhard,0.5,Over,-370.0,-355.0
Andrew Nembhard,0.5,Under,,250.0
Andrew Nembhard,1.5,Over,127.5,137.33333333333334
Andrew Nembhard,1.5,Under,-166.0,-180.0
Andrew Nembhard,2.5,Over,390.0,450.0
Andrew Nembhard,2.5,Under,,-750.0
Andrew Nembhard,3.5,Over,1200.0,1100.0
Andrew Nembhard,3.5,Under,,-4500.0
Andrew Wiggins,0.5,Over,-1600.0,-2000.0
Andrew Wiggins,1.5,Over,-285.0,-290.0
Andrew Wiggins,1.5,Under,,205.0
Andrew Wiggins,2.5,Over,112.5,109.33333333333333
Andrew Wiggins,2.5,Under,-154.0,-142.0
Andrew Wiggins,3.5,Over,260.0,265.0
Andrew Wiggins,3.5,Under,,-390.0
Andrew Wiggins,4.5,Over,600.0,700.0
Andrew Wiggins,4.5,Under,,-1450.0
Andrew Wiggins,5.5,Over,1400.0,1400.0
Andrew Wiggins,5.5,Under,,-6000.0
Andrew Wiggins,6.5,Over,,3000.0
Anfernee Simons,0.5,Over,,-7000.0
Anfernee Simons,1.5,Over,-650.0,-700.0
Anfernee Simons,2.5,Over,-205.0,-210.0
Anfernee Simons,3.5,Over,122.0,116.0
Anfernee Simons,3.5,Under,-160.0,-148.0
Anfernee Simons,4.5,Over,265.0,250.0
Anfernee Simons,5.5,Over,550.0,500.0
Anfernee Simons,6.5,Over,1200.0,1060.0
Anfernee Simons,7.5,Over,2500.0,1700.0
Austin Reaves,0.5,Over,,-4500.0
Austin Reaves,1.5,Over,-550.0,-495.0
Austin Reaves,2.5,Over,-168.0,-148.0
Austin Reaves,2.5,Under,130.0,114.0
Austin Reaves,3.5,Over,145.0,172.0
Austin Reaves,3.5,Under,,-235.0
Austin Reaves,4.5,Over,320.0,410.0
Austin Reaves,4.5,Under,,-650.0
Austin Reaves,5.5,Over,750.0,870.0
Austin Reaves,5.5,Under,,-2200.0
Austin Reaves,6.5,Over,1700.0,1500.0
Austin Reaves,7.5,Over,,3500.0
Bam Adebayo,0.5,Over,-195.0,
Bam Adebayo,1.5,Over,245.0,
Bam Adebayo,2.5,Over,850.0,
Bennedict Mathurin,0.5,Over,-600.0,-480.0
Bennedict Mathurin,1.5,Over,-130.0,102.0
Bennedict Mathurin,1.5,Under,,-130.0
Bennedict Mathurin,2.5,Over,235.0,320.0
Bennedict Mathurin,3.5,Over,650.0,830.0
Bennedict Mathurin,4.5,Over,1600.0,
Bilal Coulibaly,1.5,Over,145.0,
Bilal Coulibaly,1.5,Under,-198.0,
Bilal Coulibaly,2.5,Over,450.0,
Bol Bol,0.5,Over,-380.0,
Bol Bol,1.5,Over,110.0,
Bol Bol,2.5,Over,360.0,
Bol Bol,3.5,Over,1000.0,
