name,threesMade,over_under,DraftKings,FanDuel
Aaron Nesmith,0.5,Over,-750.0,-785.0
Aaron Nesmith,1.5,Over,-154.5,-151.33333333333334
Aaron Nesmith,1.5,Under,120.0,117.0
Aaron Nesmith,2.5,Over,185.0,197.0
Aaron Nesmith,2.5,Under,,-275.0
Aaron Nesmith,3.5,Over,475.0,470.0
Aaron Nesmith,3.5,Under,,-900.0
Aaron Nesmith,4.5,Over,1200.0,1000.0
Aaron Nesmith,4.5,Under,,-4000.0
Alexandre Sarr,0.5,Over,-425.0,-435.0
Alexandre Sarr,0.5,Under,,290.0
Alexandre Sarr,1.5,Over,107.0,117.33333333333333
Alexandre Sarr,1.5,Under,-145.0,-152.0
Alexandre Sarr,2.5,Over,310.0,350.0
Alexandre Sarr,2.5,Under,,-550.0
Alexandre Sarr,3.5,Over,900.0,1000.0
Alexandre Sarr,3.5,Under,,-3000.0
Alexandre Sarr,4.5,Over,2200.0,
Alperen Sengun,0.5,Over,250.0,
Alperen Sengun,0.5,Under,-345.0,
Alperen Sengun,1.5,Over,2000.0,
Amen Thompson,0.5,Over,182.5,
Amen Thompson,0.5,Under,-245.0,
Amen Thompson,1.5,Over,1100.0,
Andrew Nembhard,0.5,Over,-215.0,
Andrew Nembhard,0.5,Under,160.0,
Andrew Nembhard,1.5,Over,205.0,
Andrew Nembhard,2.5,Over,700.0,
Andrew Nembhard,3.5,Over,2200.0,
Andrew Wiggins,0.5,Over,-900.0,-950.0
Andrew Wiggins,1.5,Over,-180.0,-184.0
Andrew Wiggins,1.5,Under,135.0,142.0
Andrew Wiggins,2.5,Over,155.0,168.0
Andrew Wiggins,3.5,Over,400.0,430.0
Andrew Wiggins,4.5,Over,1000.0,1000.0
Andrew Wiggins,5.5,Over,2500.0,
Anthony Black,0.5,Over,-115.0,
Anthony Black,1.5,Over,400.0,
Anthony Black,2.5,Over,1600.0,
Austin Reaves,0.5,Over,-1600.0,-1900.0
Austin Reaves,1.5,Over,-285.0,-270.0
Austin Reaves,1.5,Under,,198.0
Austin Reaves,2.5,Over,107.5,111.33333333333333
Austin Reaves,2.5,Under,-140.0,-144.0
Austin Reaves,3.5,Over,255.0,277.5
Austin Reaves,3.5,Under,,-400.0
Austin Reaves,4.5,Over,600.0,650.0
Austin Reaves,4.5,Under,,-1400.0
Austin Reaves,5.5,Over,1500.0,1300.0
Austin Reaves,5.5,Under,,-5000.0
Austin Reaves,6.5,Over,,2500.0
Bam Adebayo,0.5,Over,-194.0,
Bam Adebayo,0.5,Under,145.0,
Bam Adebayo,1.5,Over,225.0,
Bam Adebayo,2.5,Over,800.0,
Bam Adebayo,3.5,Over,2500.0,
Ben Sheppard,0.5,Over,-340.0,
Ben Sheppard,1.5,Over,125.0,
Ben Sheppard,2.5,Over,360.0,
Ben Sheppard,3.5,Over,1000.0,
Bennedict Mathurin,0.5,Over,-215.0,
Bennedict Mathurin,1.5,Over,200.0,
Bennedict Mathurin,2.5,Over,650.0,
Bennedict Mathurin,3.5,Over,2000.0,
Bilal Coulibaly,0.5,Over,-295.0,
Bilal Coulibaly,1.5,Over,155.0,
Bilal Coulibaly,1.5,Under,-210.0,
Bilal Coulibaly,2.5,Over,500.0,
Bilal Coulibaly,3.5,Over,1600.0,
Brandin Podziemski,0.5,Over,-650.0,
Brandin Podziemski,1.5,Over,-147.5,
Brandin Podziemski,1.5,Under,114.0,
Brandin Podziemski,2.5,Over,200.0,
Brandin Podziemski,3.5,Over,500.0,
Brandin Podziemski,4.5,Over,1300.0,
Brook Lopez,0.5,Over,-425.0,-430.0
Brook Lopez,1.5,Over,117.5,118.0
Brook Lopez,1.5,Under,-166.0,-150.0
Brook Lopez,2.5,Over,330.0,350.0
Brook Lopez,3.5,Over,950.0,1000.0
Brook Lopez,4.5,Over,2500.0,
Buddy Hield,0.5,Over,-1100.0,-1600.0
Buddy Hield,1.5,Over,-255.0,-280.0
Buddy Hield,2.5,Over,107.5,106.0
Buddy Hield,2.5,Under,-140.0,-136.0
Buddy Hield,3.5,Over,245.0,255.0
Buddy Hield,4.5,Over,550.0,550.0
Buddy Hield,5.5,Over,1200.0,1100.0
Buddy Hield,6.5,Over,2800.0,2000.0
CJ McCollum,0.5,Over,-1800.0,-2500.0
CJ McCollum,1.5,Over,-340.0,-320.0
CJ McCollum,1.5,Under,,205.0
CJ McCollum,2.5,Over,-112.5,-104.66666666666667
CJ McCollum,2.5,Under,-120.0,-123.5
CJ McCollum,3.5,Over,215.0,237.5
CJ McCollum,3.5,Under,,-340.0
CJ McCollum,4.5,Over,500.0,550.0
CJ McCollum,4.5,Under,,-1100.0
CJ McCollum,5.5,Over,1200.0,1100.0
CJ McCollum,5.5,Under,,-4000.0
CJ McCollum,6.5,Over,2500.0,2000.0
Cade Cunningham,0.5,Over,-1400.0,-1400.0
Cade Cunningham,1.5,Over,-255.0,-230.0
Cade Cunningham,2.5,Over,125.0,132.0
Cade Cunningham,2.5,Under,-175.0,-170.0
Cade Cunningham,3.5,Over,285.0,340.0
Cade Cunningham,4.5,Over,700.0,700.0
Cade Cunningham,5.5,Over,1600.0,1500.0
Cam Thomas,0.5,Over,-2000.0,-2000.0
Cam Thomas,1.5,Over,-360.0,-315.0
Cam Thomas,1.5,Under,,225.0
Cam Thomas,2.5,Over,-115.0,102.0
Cam Thomas,2.5,Under,-125.0,-133.0
Cam Thomas,3.5,Over,190.0,260.0
Cam Thomas,3.5,Under,,-380.0
Cam Thomas,4.5,Over,425.0,650.0
Cam Thomas,4.5,Under,,-1200.0
Cam Thomas,5.5,Over,900.0,1300.0
Cam Thomas,5.5,Under,,-5000.0
Cam Thomas,6.5,Over,1800.0,3000.0
Caris LeVert,0.5,Over,-650.0,-660.0
Caris LeVert,1.5,Over,-140.0,-143.33333333333334
Caris LeVert,1.5,Under,105.0,111.0
Caris LeVert,2.5,Over,195.0,197.0
Caris LeVert,2.5,Under,,-270.0
Caris LeVert,3.5,Over,500.0,500.0
Caris LeVert,3.5,Under,,-900.0
Caris LeVert,4.5,Over,1300.0,1100.0
Caris LeVert,4.5,Under,,-4000.0
Carlton Carrington,0.5,Over,-350.0,-395.0
Carlton Carrington,0.5,Under,,270.0
Carlton Carrington,1.5,Over,125.0,119.33333333333333
Carlton Carrington,1.5,Under,-166.0,-156.0
Carlton Carrington,2.5,Over,380.0,350.0
Carlton Carrington,2.5,Under,,-550.0
Carlton Carrington,3.5,Over,1100.0,900.0
Carlton Carrington,3.5,Under,,-3000.0
Carlton Carrington,4.5,Under,,-20000.0
Coby White,0.5,Over,,-5000.0
Coby White,1.5,Over,-600.0,-620.0
Coby White,2.5,Over,-200.0,-200.0
Coby White,3.5,Over,127.5,130.0
Coby White,3.5,Under,-166.0,-166.0
Coby White,4.5,Over,280.0,300.0
Coby White,5.5,Over,600.0,600.0
Coby White,6.5,Over,1300.0,1100.0
Coby White,7.5,Over,2800.0,2000.0
Cole Anthony,0.5,Over,-340.0,-290.0
Cole Anthony,1.5,Over,140.0,164.0
Cole Anthony,1.5,Under,-195.0,-215.0
Cole Anthony,2.5,Over,400.0,500.0
Cole Anthony,3.5,Over,1100.0,1400.0
Corey Kispert,0.5,Over,-575.0,-700.0
Corey Kispert,1.5,Over,-137.5,-148.0
Corey Kispert,1.5,Under,105.0,114.0
Corey Kispert,2.5,Over,215.0,212.5
Corey Kispert,2.5,Under,,-300.0
Corey Kispert,3.5,Over,550.0,520.0
Corey Kispert,3.5,Under,,-1000.0
Corey Kispert,4.5,Over,1400.0,1200.0
Corey Kispert,4.5,Under,,-4500.0
D'Angelo Russell,0.5,Over,-750.0,-900.0
D'Angelo Russell,1.5,Over,-162.5,-165.33333333333334
D'Angelo Russell,1.5,Under,124.0,127.0
D'Angelo Russell,2.5,Over,175.0,192.0
D'Angelo Russell,2.5,Under,,-260.0
D'Angelo Russell,3.5,Over,425.0,430.0
D'Angelo Russell,3.5,Under,,-900.0
D'Angelo Russell,4.5,Over,1000.0,1100.0
D'Angelo Russell,4.5,Under,,-4000.0
D'Angelo Russell,5.5,Over,2500.0,
DaQuan Jeffries,0.5,Over,-191.5,
DaQuan Jeffries,0.5,Under,145.0,
DaQuan Jeffries,1.5,Over,225.0,
DaQuan Jeffries,2.5,Over,750.0,
DaQuan Jeffries,3.5,Over,2200.0,
Dalton Knecht,0.5,Over,-390.0,-410.0
Dalton Knecht,0.5,Under,,280.0
Dalton Knecht,1.5,Over,109.5,120.66666666666667
Dalton Knecht,1.5,Under,-145.0,-157.0
Dalton Knecht,2.5,Over,320.0,370.0
Dalton Knecht,2.5,Under,,-600.0
Dalton Knecht,3.5,Over,900.0,1000.0
Dalton Knecht,3.5,Under,,-3000.0
Dalton Knecht,4.5,Over,2500.0,
Damian Lillard,0.5,Over,,-7000.0
Damian Lillard,1.5,Over,-800.0,-900.0
Damian Lillard,2.5,Over,-235.0,-265.0
