name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Alex Sarr,0.5,Over,-320.0,,-310.0
Alex Sarr,1.5,Over,132.5,140.0,150.0
Alex Sarr,1.5,Under,-175.0,-200.0,-194.0
Alex Sarr,2.5,Over,400.0,,500.0
Alex Sarr,3.5,Over,1100.0,,1300.0
Alperen Sengun,0.5,Over,177.5,160.0,
Alperen Sengun,0.5,Under,-238.0,-225.0,
Alperen Sengun,1.5,Over,1100.0,,
Anthony Davis,0.5,Over,-180.0,-180.0,
Anthony Davis,0.5,Under,135.0,130.0,
Anthony Davis,1.5,Over,230.0,,
Anthony Davis,2.5,Over,800.0,,
Ausar Thompson,0.5,Over,-127.5,-110.0,
Ausar Thompson,0.5,Under,-105.0,-120.0,
Ausar Thompson,1.5,Over,380.0,,
Austin Reaves,0.5,Over,,,-1600.0
Austin Reaves,1.5,Over,-285.0,,-310.0
Austin Reaves,2.5,Over,107.5,-110.0,100.0
Austin Reaves,2.5,Under,-140.0,-120.0,-128.0
Austin Reaves,3.5,Over,245.0,,260.0
Austin Reaves,4.5,Over,600.0,,650.0
Austin Reaves,5.5,Over,,,1400.0
Brandon Miller,2.5,Over,-390.0,,
Brandon Miller,3.5,Over,-157.0,-170.0,
Brandon Miller,3.5,Under,120.0,125.0,
Brandon Miller,4.5,Over,130.0,,
Brandon Miller,5.5,Over,260.0,,
Brandon Miller,6.5,Over,475.0,,
Brandon Miller,7.5,Over,900.0,,
CJ McCollum,0.5,Over,,,-2100.0
CJ McCollum,1.5,Over,-450.0,,-390.0
CJ McCollum,2.5,Over,-147.5,-150.0,-127.5
CJ McCollum,2.5,Under,114.0,115.0,102.0
CJ McCollum,3.5,Over,155.0,,200.0
CJ McCollum,4.5,Over,360.0,,490.0
CJ McCollum,5.5,Over,750.0,,1000.0
CJ McCollum,6.5,Over,,,2500.0
Cade Cunningham,0.5,Over,,,-1800.0
Cade Cunningham,1.5,Over,-400.0,,-350.0
Cade Cunningham,2.5,Over,-132.5,-125.0,-115.0
Cade Cunningham,2.5,Under,100.0,-105.0,-111.0
Cade Cunningham,3.5,Over,175.0,,220.0
Cade Cunningham,4.5,Over,425.0,,500.0
Cade Cunningham,5.5,Over,900.0,,1100.0
Cade Cunningham,6.5,Over,,,2600.0
Caris LeVert,0.5,Over,-330.0,,
Caris LeVert,1.5,Over,130.0,145.0,
Caris LeVert,1.5,Under,,-210.0,
Caris LeVert,2.5,Over,380.0,,
Caris LeVert,3.5,Over,1000.0,,
Carlton Carrington,0.5,Over,-425.0,,-380.0
Carlton Carrington,1.5,Over,107.5,100.0,120.0
Carlton Carrington,1.5,Under,-140.0,-130.0,-154.0
Carlton Carrington,2.5,Over,300.0,,390.0
Carlton Carrington,3.5,Over,850.0,,1000.0
Darius Garland,0.5,Over,,,-1700.0
Darius Garland,1.5,Over,-425.0,,-340.0
Darius Garland,2.5,Over,-145.0,-125.0,-111.5
Darius Garland,2.5,Under,110.0,-105.0,-113.0
Darius Garland,3.5,Over,160.0,,230.0
Darius Garland,4.5,Over,380.0,,550.0
Darius Garland,5.5,Over,850.0,,1100.0
Darius Garland,6.5,Over,,,2700.0
De'Aaron Fox,0.5,Over,,,-1050.0
De'Aaron Fox,1.5,Over,-225.0,,-210.0
De'Aaron Fox,2.5,Over,137.5,140.0,140.0
De'Aaron Fox,2.5,Under,-180.0,-200.0,-180.0
De'Aaron Fox,3.5,Over,350.0,,370.0
De'Aaron Fox,4.5,Over,900.0,,850.0
DeMar DeRozan,0.5,Over,-120.0,-125.0,
DeMar DeRozan,0.5,Under,,-105.0,
DeMar DeRozan,1.5,Over,425.0,,
Dean Wade,0.5,Over,-525.0,,-430.0
Dean Wade,1.5,Over,-117.5,-115.0,103.5
Dean Wade,1.5,Under,-115.0,-115.0,-130.0
Dean Wade,2.5,Over,245.0,,330.0
Dean Wade,3.5,Over,650.0,,850.0
Dejounte Murray,0.5,Over,-700.0,,-600.0
Dejounte Murray,1.5,Over,-150.0,-150.0,-126.5
Dejounte Murray,1.5,Under,114.0,115.0,100.0
Dejounte Murray,2.5,Over,195.0,,250.0
Dejounte Murray,3.5,Over,500.0,,700.0
Derrick White,0.5,Over,,,-3500.0
Derrick White,1.5,Over,-650.0,,-650.0
Derrick White,2.5,Over,-210.0,,-190.0
Derrick White,3.5,Over,117.5,115.0,125.5
Derrick White,3.5,Under,-154.0,-150.0,-162.0
Derrick White,4.5,Over,260.0,,290.0
Derrick White,5.5,Over,550.0,,650.0
Derrick White,6.5,Over,1300.0,,1200.0
Derrick White,7.5,Over,,,3000.0
Desmond Bane,0.5,Over,,,-2200.0
Desmond Bane,1.5,Over,-475.0,,-420.0
Desmond Bane,2.5,Over,-160.0,-150.0,-138.5
Desmond Bane,2.5,Under,124.0,115.0,112.0
Desmond Bane,3.5,Over,150.0,,180.0
Desmond Bane,4.5,Over,350.0,,410.0
Desmond Bane,5.5,Over,750.0,,800.0
Desmond Bane,6.5,Over,,,1800.0
Dillon Brooks,0.5,Over,,,-1450.0
Dillon Brooks,1.5,Over,-350.0,,-280.0
Dillon Brooks,2.5,Over,-117.5,-115.0,103.5
Dillon Brooks,2.5,Under,-115.0,-115.0,-130.0
Dillon Brooks,3.5,Over,215.0,,260.0
Dillon Brooks,4.5,Over,500.0,,650.0
Dillon Brooks,5.5,Over,1200.0,,1300.0
Domantas Sabonis,0.5,Over,-130.0,-130.0,
Domantas Sabonis,0.5,Under,,100.0,
Domantas Sabonis,1.5,Over,380.0,,
Donovan Mitchell,1.5,Over,,,-900.0
Donovan Mitchell,2.5,Over,-285.0,,-270.0
Donovan Mitchell,3.5,Over,-122.5,-110.0,-111.5
Donovan Mitchell,3.5,Under,-110.0,-120.0,-113.0
Donovan Mitchell,4.5,Over,180.0,,200.0
Donovan Mitchell,5.5,Over,380.0,,420.0
Donovan Mitchell,6.5,Over,800.0,,750.0
Donovan Mitchell,7.5,Over,,,1600.0
Evan Mobley,0.5,Over,-217.5,-240.0,
Evan Mobley,0.5,Under,165.0,165.0,
Evan Mobley,1.5,Over,210.0,,
Evan Mobley,2.5,Over,700.0,,
Fred VanVleet,0.5,Over,,,-1900.0
Fred VanVleet,1.5,Over,-400.0,,-390.0
Fred VanVleet,2.5,Over,-132.5,-130.0,-131.0
Fred VanVleet,2.5,Under,100.0,100.0,104.0
Fred VanVleet,3.5,Over,185.0,,200.0
Fred VanVleet,4.5,Over,425.0,,480.0
Fred VanVleet,5.5,Over,950.0,,950.0
Fred VanVleet,6.5,Over,,,2400.0
Georges Niang,0.5,Over,-425.0,,
Georges Niang,1.5,Over,-105.0,110.0,
Georges Niang,1.5,Under,,-140.0,
Georges Niang,2.5,Over,275.0,,
Georges Niang,3.5,Over,700.0,,
Goga Bitadze,0.5,Over,277.5,,
Goga Bitadze,0.5,Under,-395.0,,
Gradey Dick,0.5,Over,,,-1000.0
Gradey Dick,1.5,Over,-215.0,,-190.0
Gradey Dick,2.5,Over,137.5,140.0,159.0
Gradey Dick,2.5,Under,-180.0,-200.0,-205.0
Gradey Dick,3.5,Over,330.0,,420.0
Gradey Dick,4.5,Over,800.0,,950.0
Herbert Jones,0.5,Over,-275.0,,
Herbert Jones,1.5,Over,165.0,160.0,
Herbert Jones,1.5,Under,-220.0,-225.0,
Herbert Jones,2.5,Over,550.0,,
Immanuel Quickley,0.5,Over,,,-1050.0
Immanuel Quickley,1.5,Over,-235.0,,-210.0
Immanuel Quickley,2.5,Over,127.5,140.0,143.5
Immanuel Quickley,2.5,Under,-166.0,-200.0,-184.0
Immanuel Quickley,3.5,Over,310.0,,380.0
Immanuel Quickley,4.5,Over,750.0,,800.0
Isaiah Stewart II,0.5,Over,185.0,175.0,
Isaiah Stewart II,0.5,Under,,-250.0,
Isaiah Stewart II,1.5,Over,1000.0,,
Jabari Smith Jr,0.5,Over,-600.0,,-600.0
