name,threesMade,over_under,DraftKings,ESPN BET,FanDuel
Aaron Gordon,0.5,Over,-132.5,-125.0,
Aaron Gordon,0.5,Under,100.0,-105.0,
Aaron Gordon,1.5,Over,350.0,,
Alexandre Sarr,0.5,Over,-290.0,,-350.0
Alexandre Sarr,1.5,Over,157.5,135.0,130.0
Alexandre Sarr,1.5,Under,-210.0,-190.0,-166.0
Alexandre Sarr,2.5,Over,500.0,,430.0
Alexandre Sarr,3.5,Over,,,1100.0
Andre Jackson Jr,0.5,Over,130.0,130.0,
Andre Jackson Jr,0.5,Under,,-180.0,
Andre Jackson Jr,1.5,Over,650.0,,
Anfernee Simons,0.5,Over,,,-4000.0
Anfernee Simons,1.5,Over,,,-850.0
Anfernee Simons,2.5,Over,-275.0,,-240.0
Anfernee Simons,3.5,Over,-115.0,,-1.0
Anfernee Simons,3.5,Under,-115.0,,-125.0
Anfernee Simons,4.5,Over,185.0,,220.0
Anfernee Simons,5.5,Over,400.0,,490.0
Anfernee Simons,6.5,Over,800.0,,900.0
Anfernee Simons,7.5,Over,,,1900.0
Anthony Black,0.5,Over,-150.0,-140.0,
Anthony Black,0.5,Under,,105.0,
Anthony Black,1.5,Over,320.0,,
Anthony Black,2.5,Over,1200.0,,
Anthony Davis,0.5,Over,-177.5,-190.0,
Anthony Davis,0.5,Under,135.0,135.0,
Anthony Davis,1.5,Over,270.0,,
Anthony Davis,2.5,Over,1000.0,,
Austin Reaves,0.5,Over,,,-1300.0
Austin Reaves,1.5,Over,-275.0,,-250.0
Austin Reaves,2.5,Over,102.5,105.0,124.5
Austin Reaves,2.5,Under,-135.0,-140.0,-160.0
Austin Reaves,3.5,Over,255.0,,330.0
Austin Reaves,4.5,Over,600.0,,700.0
Bam Adebayo,0.5,Over,-122.5,-110.0,
Bam Adebayo,0.5,Under,-110.0,-120.0,
Bam Adebayo,1.5,Over,390.0,,
Bilal Coulibaly,0.5,Over,-265.0,,
Bilal Coulibaly,1.5,Over,177.5,150.0,
Bilal Coulibaly,1.5,Under,-238.0,-215.0,
Bilal Coulibaly,2.5,Over,550.0,,
Bobby Portis,0.5,Over,-295.0,,-260.0
Bobby Portis,1.5,Over,155.0,160.0,164.5
Bobby Portis,1.5,Under,-210.0,-225.0,-215.0
Bobby Portis,2.5,Over,475.0,,500.0
Bobby Portis,3.5,Over,,,1300.0
Brook Lopez,0.5,Over,-550.0,,-550.0
Brook Lopez,1.5,Over,-115.0,-110.0,-117.5
Brook Lopez,1.5,Under,-115.0,-120.0,-106.0
Brook Lopez,2.5,Over,260.0,,280.0
Brook Lopez,3.5,Over,700.0,,650.0
Cameron Johnson,0.5,Over,,,-2300.0
Cameron Johnson,1.5,Over,-425.0,,-440.0
Cameron Johnson,2.5,Over,-150.0,-160.0,-154.0
Cameron Johnson,2.5,Under,114.0,120.0,124.0
Cameron Johnson,3.5,Over,155.0,,160.0
Cameron Johnson,4.5,Over,340.0,,360.0
Cameron Johnson,5.5,Over,700.0,,700.0
Cameron Johnson,6.5,Over,,,1400.0
