,careerThrPtPrct,netRest
90852,-3.628981948503246,-0.22226642368710564
90853,1.209040818168538,-0.22226642368710564
90854,7.122179755211829,-0.22226642368710564
90855,2.3438856646717965,-0.22226642368710564
90856,-0.6968469383991349,-0.22226642368710564
90857,-3.628981948503246,-0.22226642368710564
90858,0.6714827329827843,-0.22226642368710564
90859,-3.628981948503246,-0.22226642368710564
90860,-3.628981948503246,-0.22226642368710564
90861,-3.628981948503246,-0.22226642368710564
90862,-2.0931017051153784,-0.22226642368710564
90863,-3.628981948503246,-0.22226642368710564
90864,2.821715073725799,-0.22226642368710564
90865,-0.7620054941792261,-0.22226642368710564
90866,-0.6425481419157251,-0.22226642368710564
90867,-1.4787496077602311,-0.22226642368710564
90868,0.16554571163148663,-0.22226642368710564
90869,0.253382000060531,-0.22226642368710564
90870,-2.0931017051153784,-0.22226642368710564
90871,0.8978229793767853,-0.22226642368710564
90872,1.7465989033542917,-0.22226642368710564
90873,7.122179755211829,-0.22226642368710564
90874,-3.628981948503246,-0.22226642368710564
90875,0.28053139830223595,-0.22226642368710564
90876,0.07831519070884908,-0.22226642368710564
90877,0.21071865996642375,-0.22226642368710564
90878,-1.8371216645507338,-0.22226642368710564
90879,-0.2338782525932225,-0.22226642368710564
90880,1.4636735953617894,-0.22226642368710564
90881,-1.4787496077602311,-0.22226642368710564
90882,0.16554571163148663,-0.22226642368710564
90883,-3.628981948503246,-0.22226642368710564
90884,-3.628981948503246,-0.22226642368710564
90885,0.21071865996642375,-0.22226642368710564
90886,-3.628981948503246,-0.22226642368710564
90887,0.6063241772026925,-0.22226642368710564
90888,1.9803198099567931,-0.22226642368710564
90889,-3.628981948503246,-0.22226642368710564
90890,-0.7344384128876491,-0.22226642368710564
90891,0.5060802452333215,-0.22226642368710564
90892,1.7465989033542917,-0.22226642368710564
90893,0.4027036903899071,-0.22226642368710564
90894,-1.4787496077602311,-0.22226642368710564
90895,-0.5572214617275105,-0.22226642368710564
90896,2.5145390250482254,-0.22226642368710564
90897,-0.0452613805982212,-0.22226642368710564
90898,0.16554571163148663,-0.22226642368710564
90899,1.7465989033542917,-0.22226642368710564
90900,-3.628981948503246,-0.22226642368710564
90901,1.4303882650097306,-0.22226642368710564
90902,-0.40363343738872365,-0.22226642368710564
90903,1.4636735953617894,-0.22226642368710564
90904,0.28053139830223595,-0.22226642368710564
90905,-0.0452613805982212,-0.22226642368710564
90906,1.3882268465637893,-0.22226642368710564
90907,0.9786587816603574,-0.22226642368710564
90908,0.24143626483418087,-0.22226642368710564
90909,-0.18861020331442194,-0.22226642368710564
90910,-1.3251615834214445,-0.22226642368710564
90911,3.538459187306804,-0.22226642368710564
90912,-2.0931017051153784,-0.22226642368710564
90913,0.28053139830223595,-0.22226642368710564
90914,-3.628981948503246,-0.22226642368710564
90915,-0.0452613805982212,-0.22226642368710564
90916,-3.628981948503246,-0.22226642368710564
90917,1.7465989033542917,-0.22226642368710564
90918,-3.628981948503246,-0.22226642368710564
