,game_date,season,lc_fgm,rc_fgm,abv_fgm,lc_fga,rc_fga,abv_fga,total_makes,total_attempts,cumulative_makes,cumulative_attempts
64,2017-03-14,2016-17,2.0,0,3,2.0,1,10,5.0,13.0,252,630
65,2017-03-16,2016-17,0.0,0,2,0.0,0,6,2.0,6.0,254,636
66,2017-03-18,2016-17,0.0,0,6,0.0,0,8,6.0,8.0,260,644
67,2017-03-20,2016-17,2.0,0,5,2.0,1,9,7.0,12.0,267,656
68,2017-03-21,2016-17,1.0,0,2,2.0,1,5,3.0,8.0,270,664
69,2017-03-24,2016-17,0.0,0,5,1.0,0,10,5.0,11.0,275,675
70,2017-03-26,2016-17,1.0,1,3,1.0,1,10,5.0,12.0,280,687
71,2017-03-28,2016-17,0.0,0,3,1.0,0,10,3.0,11.0,283,698
72,2017-03-29,2016-17,0.0,0,4,0.0,0,8,4.0,8.0,287,706
73,2017-03-31,2016-17,0.0,1,3,0.0,1,8,4.0,9.0,291,715
74,2017-04-02,2016-17,1.0,0,8,1.0,0,13,9.0,14.0,300,729
75,2017-04-04,2016-17,0.0,0,3,2.0,0,6,3.0,8.0,303,737
76,2017-04-05,2016-17,0.0,1,7,0.0,2,10,8.0,12.0,311,749
77,2017-04-10,2016-17,0.0,0,6,0.0,0,8,6.0,8.0,317,757
78,2017-04-12,2016-17,0.0,1,4,3.0,1,9,5.0,13.0,322,770
79,2017-10-17,2017-18,0.0,0,3,0.0,0,9,3.0,9.0,325,779
80,2017-10-20,2017-18,0.0,1,3,0.0,3,8,4.0,11.0,329,790
81,2017-10-21,2017-18,0.0,0,6,1.0,0,10,6.0,11.0,335,801
82,2017-10-23,2017-18,1.0,0,1,2.0,0,8,2.0,10.0,337,811
83,2017-10-25,2017-18,1.0,0,3,1.0,0,10,4.0,11.0,341,822
84,2017-10-27,2017-18,0.0,0,3,0.0,2,11,3.0,13.0,344,835
85,2017-10-29,2017-18,,0,3,,0,7,,,344,835
86,2017-10-30,2017-18,2.0,0,5,4.0,0,7,7.0,11.0,351,846
